trade_date,execution_date,source_layer,record_granularity,action_type,action_scope,action_family,urgency,symbol,trade_side,weight_before,weight_after,requested_trade_weight,executed_trade_weight,execution_price,participation_ratio,had_forward_fill,forward_fill_days,transaction_cost,fixed_transaction_cost,bid_ask_cost,slippage_cost,total_cost,liquidity_clipped,reason_code,regime_before,regime_after,source_table,blotter_id
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,AAPL,buy,0.0,0.04959039,0.04959039,0.04959039,,5.328e-05,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:AAPL
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,ADBE,buy,0.0,0.04959039,0.04959039,0.04959039,,0.0003656,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:ADBE
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,AMZN,buy,0.0,0.04959039,0.04959039,0.04959039,,4.683e-05,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:AMZN
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,COST,buy,0.0,0.005,0.005,0.005,,7.729e-05,False,0,7.5e-06,7.5e-06,0.0,0.0,7.5e-06,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:COST
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,DG,buy,0.0,0.005,0.005,0.005,,0.00013718,False,0,7.5e-06,7.5e-06,0.0,0.0,7.5e-06,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:DG
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,DHR,buy,0.0,0.03278263,0.03278263,0.03278263,,0.00047086,False,0,4.917e-05,4.917e-05,0.0,0.0,4.917e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:DHR
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,EQIX,buy,0.0,0.04959039,0.04959039,0.04959039,,0.00079917,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:EQIX
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,EXPD,buy,0.0,0.04959039,0.04959039,0.04959039,,0.00371183,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:EXPD
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,EXR,buy,0.0,0.04959039,0.04959039,0.04959039,,0.00464838,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:EXR
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,GILD,buy,0.0,0.005,0.005,0.005,,0.00012897,False,0,7.5e-06,7.5e-06,0.0,0.0,7.5e-06,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:GILD
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,GOOG,buy,0.0,0.04959039,0.04959039,0.04959039,,0.0001556,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:GOOG
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,HCA,buy,0.0,0.04959039,0.04959039,0.04959039,,0.00190477,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:HCA
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,HD,buy,0.0,0.04959039,0.04959039,0.04959039,,0.00043768,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:HD
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,ICE,buy,0.0,0.04959039,0.04959039,0.04959039,,0.0015325,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:ICE
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,IDXX,buy,0.0,0.04959039,0.04959039,0.04959039,,0.0023717,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:IDXX
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,KMB,buy,0.0,0.04959039,0.04959039,0.04959039,,0.00201118,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:KMB
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,LOW,buy,0.0,0.04959039,0.04959039,0.04959039,,0.00076025,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:LOW
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,MSFT,buy,0.0,0.04959039,0.04959039,0.04959039,,8.632e-05,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:MSFT
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,NOC,buy,0.0,0.04959039,0.04959039,0.04959039,,0.00150866,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:NOC
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,NTAP,buy,0.0,0.04959039,0.04959039,0.04959039,,0.00373643,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:NTAP
2021-07-01,2021-07-01,quarterly_rebalance,symbol,quarterly_rebalance_execution,symbol,scheduled_rebalance,scheduled,NVDA,buy,0.0,0.04959039,0.04959039,0.04959039,,5.879e-05,False,0,7.439e-05,7.439e-05,0.0,0.0,7.439e-05,False,scheduled_rebalance,,,backtest_execution_ledger,quarterly:6905e84b-9e16-4106-8c0f-cd9ecce56728:2021-07-01:NVDA
