"symbol","security","gics_sector","gics_industry","country","region"
"MMM         ","3M Company","Industrials","Industrial Conglomerates","US","North America"
"ABT         ","Abbott Laboratories","Health Care","Health Care Equipment","US","North America"
"ABBV        ","AbbVie Inc.","Health Care","Pharmaceuticals","US","North America"
"ABMD        ","ABIOMED Inc","Health Care","Health Care Equipment","US","North America"
"ACN         ","Accenture plc","Information Technology","IT Consulting & Other Services","US","North America"
"ATVI        ","Activision Blizzard","Communication Services","Interactive Home Entertainment","US","North America"
"ADBE        ","Adobe Systems Inc","Information Technology","Application Software","US","North America"
"AMD         ","Advanced Micro Devices Inc","Information Technology","Semiconductors","US","North America"
"AAP         ","Advance Auto Parts","Consumer Discretionary","Automotive Retail","US","North America"
"AES         ","AES Corp","Utilities","Independent Power Producers & Energy Traders","US","North America"
"AMG         ","Affiliated Managers Group Inc","Financials","Asset Management & Custody Banks","US","North America"
"AFL         ","AFLAC Inc","Financials","Life & Health Insurance","US","North America"
"A           ","Agilent Technologies Inc","Health Care","Health Care Equipment","US","North America"
"APD         ","Air Products & Chemicals Inc","Materials","Industrial Gases","US","North America"
"AKAM        ","Akamai Technologies Inc","Information Technology","Internet Services & Infrastructure","US","North America"
"ALK         ","Alaska Air Group Inc","Industrials","Airlines","US","North America"
"ALB         ","Albemarle Corp","Materials","Specialty Chemicals","US","North America"
"ARE         ","Alexandria Real Estate Equities","Real Estate","Office REITs","US","North America"
"ALXN        ","Alexion Pharmaceuticals","Health Care","Biotechnology","US","North America"
"ALGN        ","Align Technology","Health Care","Health Care Supplies","US","North America"
"ALLE        ","Allegion","Industrials","Building Products","US","North America"
"AGN         ","Allergan, Plc","Health Care","Pharmaceuticals","US","North America"
"ADS         ","Alliance Data Systems","Information Technology","Data Processing & Outsourced Services","US","North America"
"LNT         ","Alliant Energy Corp","Utilities","Electric Utilities","US","North America"
"ALL         ","Allstate Corp","Financials","Property & Casualty Insurance","US","North America"
"GOOGL       ","Alphabet Inc Class A","Communication Services","Interactive Media & Services","US","North America"
"GOOG        ","Alphabet Inc Class C","Communication Services","Interactive Media & Services","US","North America"
"MO          ","Altria Group Inc","Consumer Staples","Tobacco","US","North America"
"AMZN        ","Amazon.com Inc.","Consumer Discretionary","Internet & Direct Marketing Retail","US","North America"
"AEE         ","Ameren Corp","Utilities","Multi-Utilities","US","North America"
"AAL         ","American Airlines Group","Industrials","Airlines","US","North America"
"AEP         ","American Electric Power","Utilities","Electric Utilities","US","North America"
"AXP         ","American Express Co","Financials","Consumer Finance","US","North America"
"AIG         ","American International Group","Financials","Property & Casualty Insurance","US","North America"
"AMT         ","American Tower Corp.","Real Estate","Specialized REITs","US","North America"
"AWK         ","American Water Works Company Inc","Utilities","Water Utilities","US","North America"
"AMP         ","Ameriprise Financial","Financials","Asset Management & Custody Banks","US","North America"
"ABC         ","AmerisourceBergen Corp","Health Care","Health Care Distributors","US","North America"
"AME         ","AMETEK Inc.","Industrials","Electrical Components & Equipment","US","North America"
"AMGN        ","Amgen Inc.","Health Care","Biotechnology","US","North America"
"APH         ","Amphenol Corp","Information Technology","Electronic Components","US","North America"
"APC         ","Anadarko Petroleum Corp","Energy","Oil & Gas Exploration & Production","US","North America"
"ADI         ","Analog Devices, Inc.","Information Technology","Semiconductors","US","North America"
"ANSS        ","ANSYS","Information Technology","Application Software","US","North America"
"ANTM        ","Anthem Inc.","Health Care","Managed Health Care","US","North America"
"AON         ","Aon plc","Financials","Insurance Brokers","US","North America"
"AOS         ","A.O. Smith Corp","Industrials","Building Products","US","North America"
"APA         ","Apache Corporation","Energy","Oil & Gas Exploration & Production","US","North America"
"AIV         ","Apartment Investment & Management","Real Estate","Residential REITs","US","North America"
"AAPL        ","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals","US","North America"
"AMAT        ","Applied Materials Inc.","Information Technology","Semiconductor Equipment","US","North America"
"APTV        ","Aptiv Plc","Consumer Discretionary","Auto Parts & Equipment","US","North America"
"ADM         ","Archer-Daniels-Midland Co","Consumer Staples","Agricultural Products","US","North America"
"ARNC        ","Arconic Inc.","Industrials","Aerospace & Defense","US","North America"
"ANET        ","Arista Networks","Information Technology","Communications Equipment","US","North America"
"AJG         ","Arthur J. Gallagher & Co.","Financials","Insurance Brokers","US","North America"
"AIZ         ","Assurant","Financials","Multi-line Insurance","US","North America"
"ATO         ","Atmos Energy Corp","Utilities","Gas Utilities","US","North America"
"T           ","AT&T Inc.","Communication Services","Integrated Telecommunication Services","US","North America"
"ADSK        ","Autodesk Inc.","Information Technology","Application Software","US","North America"
"ADP         ","Automatic Data Processing","Information Technology","Internet Services & Infrastructure","US","North America"
"AZO         ","AutoZone Inc","Consumer Discretionary","Specialty Stores","US","North America"
"AVB         ","AvalonBay Communities, Inc.","Real Estate","Residential REITs","US","North America"
"AVY         ","Avery Dennison Corp","Materials","Paper Packaging","US","North America"
"BHGE        ","Baker Hughes, a GE Company","Energy","Oil & Gas Equipment & Services","US","North America"
"BLL         ","Ball Corp","Materials","Metal & Glass Containers","US","North America"
"BAC         ","Bank of America Corp","Financials","Diversified Banks","US","North America"
"BK          ","The Bank of New York Mellon Corp.","Financials","Asset Management & Custody Banks","US","North America"
"BAX         ","Baxter International Inc.","Health Care","Health Care Equipment","US","North America"
"BBT         ","BB&T Corporation","Financials","Regional Banks","US","North America"
"BDX         ","Becton Dickinson","Health Care","Health Care Equipment","US","North America"
"BRK.B       ","Berkshire Hathaway","Financials","Multi-Sector Holdings","US","North America"
"BBY         ","Best Buy Co. Inc.","Consumer Discretionary","Computer & Electronics Retail","US","North America"
"BIIB        ","Biogen Inc.","Health Care","Biotechnology","US","North America"
"BLK         ","BlackRock","Financials","Asset Management & Custody Banks","US","North America"
"HRB         ","Block H&R","Consumer Discretionary","Specialized Consumer Services","US","North America"
"BA          ","Boeing Company","Industrials","Aerospace & Defense","US","North America"
"BKNG        ","Booking Holdings Inc","Consumer Discretionary","Internet & Direct Marketing Retail","US","North America"
"BWA         ","BorgWarner","Consumer Discretionary","Auto Parts & Equipment","US","North America"
"BXP         ","Boston Properties","Real Estate","Office REITs","US","North America"
"BSX         ","Boston Scientific","Health Care","Health Care Equipment","US","North America"
"BMY         ","Bristol-Myers Squibb","Health Care","Health Care Distributors","US","North America"
"AVGO        ","Broadcom","Information Technology","Semiconductors","US","North America"
"BR          ","Broadridge Financial Solutions","Information Technology","Data Processing & Outsourced Services","US","North America"
"BF.B        ","Brown-Forman Corp.","Consumer Staples","Distillers & Vintners","US","North America"
"CHRW        ","C. H. Robinson Worldwide","Industrials","Air Freight & Logistics","US","North America"
"COG         ","Cabot Oil & Gas","Energy","Oil & Gas Exploration & Production","US","North America"
"CDNS        ","Cadence Design Systems","Information Technology","Application Software","US","North America"
"CPB         ","Campbell Soup","Consumer Staples","Packaged Foods & Meats","US","North America"
"COF         ","Capital One Financial","Financials","Consumer Finance","US","North America"
"CPRI        ","Capri Holdings","Consumer Discretionary","Apparel, Accessories & Luxury Goods","US","North America"
"CAH         ","Cardinal Health Inc.","Health Care","Health Care Distributors","US","North America"
"KMX         ","Carmax Inc","Consumer Discretionary","Specialty Stores","US","North America"
"CCL         ","Carnival Corp.","Consumer Discretionary","Hotels, Resorts & Cruise Lines","US","North America"
"CAT         ","Caterpillar Inc.","Industrials","Construction Machinery & Heavy Trucks","US","North America"
"CBOE        ","Cboe Global Markets","Financials","Financial Exchanges & Data","US","North America"
"CBRE        ","CBRE Group","Real Estate","Real Estate Services","US","North America"
"CBS         ","CBS Corp.","Communication Services","Broadcasting","US","North America"
"CE          ","Celanese Corp.","Materials","Specialty Chemicals","US","North America"
"CELG        ","Celgene Corp.","Health Care","Biotechnology","US","North America"
"CNC         ","Centene Corporation","Health Care","Managed Health Care","US","North America"
"CNP         ","CenterPoint Energy","Utilities","Multi-Utilities","US","North America"
"CTL         ","CenturyLink Inc","Communication Services","Integrated Telecommunication Services","US","North America"
"CERN        ","Cerner","Health Care","Health Care Technology","US","North America"
"CF          ","CF Industries Holdings Inc","Materials","Fertilizers & Agricultural Chemicals","US","North America"
"SCHW        ","Charles Schwab Corporation","Financials","Investment Banking & Brokerage","US","North America"
"CHTR        ","Charter Communications","Communication Services","Cable & Satellite","US","North America"
"CVX         ","Chevron Corp.","Energy","Integrated Oil & Gas","US","North America"
"CMG         ","Chipotle Mexican Grill","Consumer Discretionary","Restaurants","US","North America"
"CB          ","Chubb Limited","Financials","Property & Casualty Insurance","US","North America"
"CHD         ","Church & Dwight","Consumer Staples","Household Products","US","North America"
"CI          ","CIGNA Corp.","Health Care","Managed Health Care","US","North America"
"XEC         ","Cimarex Energy","Energy","Oil & Gas Exploration & Production","US","North America"
"CINF        ","Cincinnati Financial","Financials","Property & Casualty Insurance","US","North America"
"CTAS        ","Cintas Corporation","Industrials","Diversified Support Services","US","North America"
"CSCO        ","Cisco Systems","Information Technology","Communications Equipment","US","North America"
"C           ","Citigroup Inc.","Financials","Diversified Banks","US","North America"
"CFG         ","Citizens Financial Group","Financials","Regional Banks","US","North America"
"CTXS        ","Citrix Systems","Information Technology","Internet Software & Services","US","North America"
"CLX         ","The Clorox Company","Consumer Staples","Household Products","US","North America"
"CME         ","CME Group Inc.","Financials","Financial Exchanges & Data","US","North America"
"CMS         ","CMS Energy","Utilities","Multi-Utilities","US","North America"
"KO          ","Coca-Cola Company","Consumer Staples","Soft Drinks","US","North America"
"CTSH        ","Cognizant Technology Solutions","Information Technology","IT Consulting & Other Services","US","North America"
"CL          ","Colgate-Palmolive","Consumer Staples","Household Products","US","North America"
"CMCSA       ","Comcast Corp.","Communication Services","Cable & Satellite","US","North America"
"CMA         ","Comerica Inc.","Financials","Diversified Banks","US","North America"
"CAG         ","Conagra Brands","Consumer Staples","Packaged Foods & Meats","US","North America"
