selection_percentile,max_debt_equity,sharpe_ratio,annualised_return,max_drawdown,n_holdings_approx
0.1,1.5,0.2589882662919054,0.06963538569870487,-0.2182424087363125,500
0.1,2.0,0.29167535330316324,0.07452015026673053,-0.2129248786476637,500
0.1,2.5,0.3072733138841386,0.07636879829659482,-0.21532311046227853,500
0.1,3.0,0.27693176443459183,0.07167038639687418,-0.2125746020110786,500
0.15,1.5,0.28871253897754656,0.07444602191344751,-0.21824240873631262,333
0.15,2.0,0.3293555962946049,0.08045568857166385,-0.2129248786476639,333
0.15,2.5,0.3320369385119705,0.08026841884392066,-0.21532311046227795,333
0.15,3.0,0.3122456561122942,0.07706979458270391,-0.21257460201107847,333
0.2,1.5,0.30079287784186914,0.07642182394381991,-0.21824240873631187,250
0.2,2.0,0.34545237014039526,0.08301620169403412,-0.21292487864766374,250
0.2,2.5,0.34627902953633427,0.08248759455673138,-0.2153231104622782,250
0.2,3.0,0.3335647371979705,0.0803763457897455,-0.21257460201107928,250
0.25,1.5,0.2869532087474059,0.07412052536612546,-0.21824240873631243,200
0.25,2.0,0.33523988418967693,0.08133699156146057,-0.21292487864766294,200
0.25,2.5,0.3329052744165153,0.08035001087317517,-0.2153231104622779,200
0.25,3.0,0.30452672281969323,0.07582726434925413,-0.2125746020110791,200
0.3,1.5,0.2661839092149535,0.07075348901896428,-0.21824240873631234,166
0.3,2.0,0.3193092705635948,0.07883133052803437,-0.21292487864766418,166
0.3,2.5,0.32117766998861125,0.07856412508430233,-0.21532311046227834,166
0.3,3.0,0.288757027898676,0.0733976445945157,-0.21257460201107936,166
