factor,beta,se_nw,t_stat,p_value,annualised_alpha,r_squared,adj_r_squared,n_months,variant,column
alpha (intercept),0.018153575203945907,0.007656957121233155,2.3708602407613153,0.017746740255634316,0.24096486968003217,0.2181304846701485,0.030481800990984187,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
Mkt-RF,-0.34176333236479195,0.22748856229995734,-1.5023319366454848,0.1330114046590284,,0.2181304846701485,0.030481800990984187,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
SMB,0.6432380076622984,0.21685254097077228,2.966246117212872,0.0030145914058695876,,0.2181304846701485,0.030481800990984187,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
HML,-0.5158208323264706,0.33679871450022575,-1.531540383376745,0.1256358937412782,,0.2181304846701485,0.030481800990984187,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
RMW,-0.1330516947962326,0.22324969383173895,-0.5959770538207875,0.5511905559096741,,0.2181304846701485,0.030481800990984187,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
CMA,-0.09935626454878918,0.2591156251398313,-0.3834437405894444,0.7013907767360055,,0.2181304846701485,0.030481800990984187,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
MOM,0.12988616542752082,0.160363701498563,0.8099474146191663,0.41797039919263224,,0.2181304846701485,0.030481800990984187,32,Dynamic L/S (HEADLINE),dynamic_net_20bp
alpha (intercept),0.019370636739768094,0.007376415879580833,2.6260228620500223,0.00863890148001755,0.25888318734083393,0.2618342336171443,0.08467444968525895,32,Static L/S (robustness),static_net_20bp
Mkt-RF,-0.34772709180582895,0.20821563023832954,-1.6700335676424034,0.09491272240239122,,0.2618342336171443,0.08467444968525895,32,Static L/S (robustness),static_net_20bp
SMB,0.6727628426417877,0.19115452540435549,3.5194711776698466,0.00043240801624552024,,0.2618342336171443,0.08467444968525895,32,Static L/S (robustness),static_net_20bp
HML,-0.5738074803449777,0.3002775391169566,-1.9109237475184004,0.05601438078350243,,0.2618342336171443,0.08467444968525895,32,Static L/S (robustness),static_net_20bp
RMW,-0.166290864815665,0.21967013051156473,-0.7570026221972426,0.4490482914832744,,0.2618342336171443,0.08467444968525895,32,Static L/S (robustness),static_net_20bp
CMA,-0.08819043297237601,0.2590937973153098,-0.34038033286088576,0.7335701275409396,,0.2618342336171443,0.08467444968525895,32,Static L/S (robustness),static_net_20bp
MOM,0.1199939294067947,0.1566630592253046,0.7659363349609158,0.4437141847358518,,0.2618342336171443,0.08467444968525895,32,Static L/S (robustness),static_net_20bp
