symbol,gics_sector,sector,composite_score,sector_rank,momentum_252,volatility_252,risk_adjusted_momentum_252,volume_60d_avg,var_95,atr_pct,atr_14,history_rows,selection_score,selection_rank,weight,weighting_method
WDC,Information Technology,Information Technology,2.3843534632382046,1.0,9.094292968685176,0.6071318558109392,14.979106896866796,2670990043.8076577,-0.055025775347791725,4.853318447070462,19.595030327146198,1254,2.3843534632382046,1,0.03333333333333333,equal_weight
CAT,Industrials,Industrials,2.15880988362931,1.0,1.7207817417992204,0.31189421557471525,5.51719671565054,2015404736.7920635,-0.025850552066848213,2.6874693120234374,22.19742212009718,1254,2.15880988362931,2,0.03333333333333333,equal_weight
AZN.L,Health Care,Health Care,2.0662505757794314,1.0,0.3276081794452326,0.24170602088600146,1.3553993328107707,39037872746.89007,-0.019227168512181668,3.6477121243988093,509.65833802100167,1259,2.0662505757794314,3,0.03333333333333333,equal_weight
MU,Information Technology,Information Technology,2.0472977521620077,2.0,5.787455787909194,0.5851538552265998,9.890485615390865,16995036041.294313,-0.04923397376470413,5.15194172107357,27.008023078145357,1254,2.0472977521620077,4,0.03333333333333333,equal_weight
TD.TO,Financials,Financials,2.0415488073599137,1.0,0.7337977921446504,0.14410017518856091,5.0922755033742755,732430006.8830427,-0.013415037842106453,1.3262558566176892,1.9120630442012525,1253,2.0415488073599137,5,0.03333333333333333,equal_weight
BATS.L,Consumer Staples,Consumer Staples,1.8615314188376533,1.0,0.3451532819801397,0.219144042511206,1.5750064570543376,21150417904.792236,-0.02091515292131651,2.452909173374734,103.90523258415374,1259,1.8615314188376533,6,0.03333333333333333,equal_weight
GOOGL,Communication Services,Communication Services,1.8276205918430075,1.0,1.2134495694498173,0.28226098813978323,4.299033945310517,10038098750.043886,-0.02341437404642267,2.2415478755884335,7.875454224004468,1254,1.8276205918430075,7,0.03333333333333333,equal_weight
RR.L,Industrials,Industrials,1.7680452069558543,2.0,0.49655340934746617,0.3315520864488579,1.4976633525847522,42445567378.20965,-0.030792593011087818,4.789602540248269,54.14166828430299,1260,1.7680452069558543,8,0.03333333333333333,equal_weight
JNJ,Health Care,Health Care,1.748113715994394,2.0,0.49876906521539977,0.1668289676581401,2.9897030007250263,1972429533.2153666,-0.014440666226163797,2.0284226430844337,4.5824096672751,1254,1.748113715994394,9,0.03333333333333333,equal_weight
AMZN,Consumer Discretionary,Consumer Discretionary,1.741302482299906,1.0,0.40747291327626756,0.30693991099520823,1.3275331707600215,11334025611.739746,-0.02587924029952296,2.4476197185593955,6.426225272295989,1254,1.741302482299906,10,0.03333333333333333,equal_weight
