snapshot_date,symbol,gics_sector,sector,composite_score,sector_rank,z_momentum,z_liquidity,z_risk
2021-05-31,TGT,Consumer Discretionary,Consumer Discretionary,1.8223860570031765,1,2.829179867788927,-0.29427355275509004,-0.9186642344041915
2021-05-31,MPC,Energy,Energy,1.662559154425326,1,2.203929187642053,-0.44231713286008284,-2.143325342060553
2021-05-31,NG.L,Utilities,Utilities,1.5855285190638624,1,1.268882916041189,2.912679027120821,-1.2083148200749239
2021-05-31,AHT.L,Industrials,Industrials,1.573019349895723,1,1.3772949269877064,3.1370737612310453,-0.5961382072844504
2021-05-31,AZN.L,Health Care,Health Care,1.563907095990392,1,1.1784681365954826,3.491273627415391,-0.7928574427501208
2021-05-31,IMI.L,Industrials,Industrials,1.4959329355098874,2,2.060268455582735,0.176415310177491,-1.1224440006237413
2021-05-31,LLOY.L,Financials,Financials,1.4124740482459823,1,1.4280380384441236,2.175431215471938,-0.6028249104256017
2021-05-31,BA.L,Industrials,Industrials,1.276852798311625,3,1.2733242201235242,1.417133648127794,-1.1471576830597576
2021-05-31,UU.L,Utilities,Utilities,1.2680191582936486,2,1.524218963295665,0.3047927889112284,-1.4626461126700196
2021-05-31,LLY,Health Care,Health Care,1.183669523740174,2,1.7225187855912496,-0.28586623713178383,-1.036657499058906
2021-05-31,ADM,Consumer Staples,Consumer Staples,1.0776460918608188,1,1.7101325909996314,-0.5793072907174862,-0.8371399770226866
2021-05-31,FDX,Industrials,Industrials,1.0640537276570448,4,1.803172518541599,-0.36200433831602397,-0.27275542097645206
2021-05-31,CSCO,Information Technology,Information Technology,1.0260574158318425,1,1.2130247671501948,-0.43958126430479394,-1.9307940420134226
2021-05-31,SSE.L,Industrials,Industrials,1.0221646828343984,5,0.8790734384841512,1.430092894023401,-1.0435102046961375
2021-05-31,RY.TO,Financials,Financials,1.020647400213005,2,1.5010461368695711,-0.5693683153658535,-1.1694669058221656
2021-05-31,JNJ,Health Care,Health Care,0.99942191578327,3,1.357044497068935,-0.20708708027004327,-1.1330631679795882
2021-05-31,NUE,Materials,Materials,0.971689458693544,1,1.8232819925409558,-0.5664399996485016,0.04495868450664563
2021-05-31,SEE,Materials,Materials,0.8769034310252468,2,1.3166122800195068,-0.6185315807789195,-1.0532118958466332
2021-05-31,HCA,Health Care,Health Care,0.8437806911238145,4,1.5396556916871325,-0.3484488903674311,0.05161472907489353
2021-05-31,NEM,Materials,Materials,0.8208764995839122,3,1.1439511440281196,-0.5592241980687551,-1.2317532639039575
2021-05-31,NVDA,Information Technology,Information Technology,0.7976682333713767,2,1.1706304267592746,0.7241745546117213,0.24772466803266147
2021-05-31,AAF.L,Communication Services,Communication Services,0.7518044058201167,1,1.2922069932756952,-0.6683536626846519,-0.5507547119581494
2021-05-31,CA.PA,Consumer Staples,Consumer Staples,0.7284245787862184,2,1.255445579181609,-0.6012332939182955,-0.47701945030456055
2021-05-31,SBRY.L,Consumer Staples,Consumer Staples,0.7186024251605977,3,1.0051907454307367,-0.2935449450817544,-0.8709848345925331
2021-05-31,FE,Utilities,Utilities,0.7116240125076432,3,1.0209978846412928,-0.4525727313799678,-0.9476991399943049
2021-05-31,GOOG,Communication Services,Communication Services,0.6526628015638868,2,1.1817244806244687,0.17304948537806095,0.45490891943203304
2021-05-31,C,Financials,Financials,0.6355621423292956,3,0.8688304267155916,-0.353893101007013,-0.9252125325067162
2021-05-31,NXT.L,Consumer Discretionary,Consumer Discretionary,0.6076960035113493,2,0.43732937159074375,0.3138676407250493,-1.4126242620594662
2021-05-31,EQIX,Real Estate,Real Estate,0.5707537892667601,1,0.6474398965880594,-0.0747600846025738,-0.9862093411721962
2021-05-31,MS,Financials,Financials,0.538589343291655,4,0.8993248529010727,-0.4800569849855006,-0.4750291427405579
2021-05-31,UNI.MC,Financials,Financials,0.5312355603817187,5,0.8432525949954256,-0.6837339999136196,-0.8101540168359364
2021-05-31,ULTA,Consumer Discretionary,Consumer Discretionary,0.5154166993900782,3,1.035369064860429,-0.4183840136691162,0.11063968396177958
2021-05-31,SPG,Real Estate,Real Estate,0.4982168224825067,2,1.3814102790565639,-0.15733870502600605,1.495808019731152
2021-05-31,ADI,Information Technology,Information Technology,0.45341016808489953,3,0.8891629603658324,-0.5623935680577906,-0.16195552738479127
2021-05-31,M,Consumer Discretionary,Consumer Discretionary,0.357507853353934,4,1.0823238647427567,-0.4208531320617163,1.0385791953968837
2021-05-31,VLO,Energy,Energy,0.34415807648829927,2,0.7333806736050855,-0.46477214931230976,0.014579489061450275
2021-06-30,SMT.L,Financials,Financials,2.7063578030888573,1,3.7717326947126217,0.5033187557932833,-1.7132721755131395
2021-06-30,TGT,Consumer Discretionary,Consumer Discretionary,1.771053814606235,1,2.3560572152711816,-0.2681926514821151,-2.0552900786997452
2021-06-30,AZN.L,Health Care,Health Care,1.7697464819883058,1,1.4395239632867896,3.551107590412233,-0.9790529296689261
2021-06-30,GSK.L,Health Care,Health Care,1.611032282658814,2,1.665789346970904,2.027599968107954,-1.0301934042734033
2021-06-30,AMZN,Consumer Discretionary,Consumer Discretionary,1.58777895062306,2,1.196820858563593,3.4294926414879328,-0.9189395359365875
2021-06-30,SEE,Materials,Materials,1.5583585351357976,1,2.463208636155868,-0.6075849781312906,-1.0097517453426754
2021-06-30,NVDA,Information Technology,Information Technology,1.51968501152658,1,1.6586120086384577,1.865832286844939,-0.7567567448725883
2021-06-30,SHEL.L,Energy,Energy,1.5182035773254487,1,1.7871216122792242,1.9859314204355278,-0.2437216293540429
2021-06-30,ILMN,Health Care,Health Care,1.4480110746678345,3,2.4223575770279644,-0.3800773684215604,-0.3530600106768397
2021-06-30,ROK,Industrials,Industrials,1.4444985807493194,1,2.190803691091631,-0.5606710119283785,-1.2107528424000833
2021-06-30,EBAY,Consumer Discretionary,Consumer Discretionary,1.3875281813076215,3,2.2598940763545623,-0.34294081306790536,-0.5008994905423263
2021-06-30,ULVR.L,Consumer Staples,Consumer Staples,1.359751324429433,1,1.2005123069214978,2.4764642967248194,-0.7207554046578526
2021-06-30,WELL,Real Estate,Real Estate,1.2842848653169374,1,1.9214926051891263,-0.4427156759324602,-1.099662186949768
2021-06-30,GOOG,Communication Services,Communication Services,1.2459188542939796,1,1.5193939999572887,0.1393700913500027,-1.5320421802480293
2021-06-30,AHT.L,Industrials,Industrials,1.2398550137603144,2,0.9692238018996866,2.6023179730596424,-0.6892856900428698
2021-06-30,BATS.L,Consumer Staples,Consumer Staples,1.0261957323886437,2,1.0753676127207643,1.063112878793307,-0.8417629449876182
2021-06-30,IMI.L,Industrials,Industrials,1.0041301599107537,3,1.3216196965942535,0.019976744073722446,-1.0358149656972857
2021-06-30,AAPL,Information Technology,Information Technology,1.0010432216904586,2,0.6786092759565767,2.0945005664169223,-0.8748877141656399
2021-06-30,NEE,Utilities,Utilities,0.9793488547010358,1,1.419985145427465,-0.23145412991198938,-0.8682429671347736
