"id","symbol","price_date","open_price","high_price","low_price","close_price","volume"
1494807,"URTH","2026-04-22","194.6700","195.0000","194.3400","194.9200","771500"
1494778,"URTH","2026-04-21","195.5200","195.6600","192.9300","193.2800","2488000"
1494749,"URTH","2026-04-20","195.2100","195.6100","194.6100","195.5100","2060600"
1494720,"URTH","2026-04-17","195.2500","196.4800","194.8700","195.7900","276800"
1494691,"URTH","2026-04-16","193.6400","193.7500","192.7800","193.3800","272600"
1494662,"URTH","2026-04-15","192.2100","193.4300","191.8900","193.3300","1367100"
1494633,"URTH","2026-04-14","190.7600","192.2100","190.7400","192.0000","1053600"
1494604,"URTH","2026-04-13","187.5800","190.0900","187.3700","189.9900","752800"
1494575,"URTH","2026-04-10","188.9600","189.1900","188.0200","188.3800","285200"
1494546,"URTH","2026-04-09","187.1100","188.7800","186.7000","188.3600","618500"
1494517,"URTH","2026-04-08","188.1100","188.5400","186.6900","187.6600","628300"
1494488,"URTH","2026-04-07","181.7400","182.5500","180.1900","182.4700","264100"
1494459,"URTH","2026-04-02","179.1100","182.3000","178.6500","181.7200","457700"
1494430,"URTH","2026-04-01","181.5800","182.7600","181.2300","181.8100","1562800"
1494401,"URTH","2026-03-31","177.1800","180.2800","176.6500","180.0200","2361600"
1494372,"URTH","2026-03-30","177.0500","177.0700","174.2400","174.9400","555600"
1494343,"URTH","2026-03-27","177.1200","177.3300","175.0000","175.4200","1412900"
1494314,"URTH","2026-03-26","179.7100","180.5500","177.8900","178.0400","1251000"
1494285,"URTH","2026-03-25","181.7600","182.2200","180.5900","181.1900","367800"
1494256,"URTH","2026-03-24","179.0100","180.7500","178.6600","179.8500","287300"
1494227,"URTH","2026-03-23","180.8700","182.5300","179.8900","180.5400","505100"
1494198,"URTH","2026-03-20","180.8000","180.8900","177.0100","178.0000","430500"
1494169,"URTH","2026-03-19","179.8600","182.1600","179.6100","181.3600","537600"
1494140,"URTH","2026-03-18","183.7700","184.0900","181.7200","181.7700","399700"
1494111,"URTH","2026-03-17","184.9700","185.4500","184.3800","184.4900","162700"
1494082,"URTH","2026-03-16","183.6200","184.6800","183.3800","184.0400","318400"
1494053,"URTH","2026-03-13","183.7800","184.7000","181.4700","181.7500","299700"
1494024,"URTH","2026-03-12","184.4300","184.6300","183.1300","183.1500","484400"
1493995,"URTH","2026-03-11","186.0600","186.8000","185.1500","186.0200","320500"
1493966,"URTH","2026-03-10","186.7900","188.3500","185.8100","186.3600","1090400"
1493937,"URTH","2026-03-09","182.9700","186.9100","181.7600","186.4500","1063600"
1493908,"URTH","2026-03-06","184.4900","186.0600","183.8100","184.9800","722300"
1493879,"URTH","2026-03-05","187.3900","188.3000","185.3500","187.0900","931400"
1493850,"URTH","2026-03-04","187.9400","189.1700","187.2300","188.8200","920300"
1493821,"URTH","2026-03-03","185.3800","187.8000","183.7600","187.2100","514800"
1493792,"URTH","2026-03-02","188.2200","190.6500","188.0200","190.1800","531400"
1493763,"URTH","2026-02-27","190.3500","191.1800","190.0500","190.8400","595600"
1493734,"URTH","2026-02-26","192.4400","192.4400","190.3300","191.6800","418200"
1493705,"URTH","2026-02-25","191.5500","192.5300","191.5400","192.3700","539100"
1493676,"URTH","2026-02-24","189.2100","190.9900","189.0000","190.7700","187900"
1493647,"URTH","2026-02-23","190.9100","191.4300","189.0500","189.5000","257500"
1493618,"URTH","2026-02-20","189.3300","191.4100","189.2400","191.1900","257900"
1493589,"URTH","2026-02-19","189.4600","190.1000","189.1300","189.8900","172600"
1493560,"URTH","2026-02-18","189.8500","191.1700","189.4900","190.4100","208000"
1493531,"URTH","2026-02-17","188.5300","189.9500","187.5000","189.4600","252900"
1493498,"URTH","2026-02-13","189.0100","190.3400","188.2400","189.4000","333700"
1493469,"URTH","2026-02-12","192.3700","192.5300","188.8500","189.0200","558300"
1493440,"URTH","2026-02-11","192.7700","192.8400","190.8700","191.8300","257300"
1493411,"URTH","2026-02-10","192.2100","192.5400","191.4800","191.6000","310500"
1493382,"URTH","2026-02-09","190.2800","192.1000","190.0100","191.8400","291500"
1493353,"URTH","2026-02-06","187.8500","190.4700","187.8500","190.2400","570300"
1493324,"URTH","2026-02-05","187.4100","188.1500","186.1300","186.4600","612500"
1493295,"URTH","2026-02-04","190.1000","190.3100","187.8900","188.9800","417600"
1493266,"URTH","2026-02-03","190.7400","190.8100","187.9400","189.4400","384700"
1493237,"URTH","2026-02-02","189.2600","190.9500","189.2600","190.6600","776100"
1493208,"URTH","2026-01-30","190.0300","190.4200","188.4700","189.6300","992300"
1493179,"URTH","2026-01-29","191.4900","191.5600","188.4100","190.8000","450600"
1493150,"URTH","2026-01-28","191.1500","191.4000","190.2900","190.7900","163300"
1493121,"URTH","2026-01-27","190.6100","191.4600","190.6100","191.2900","210100"
1493092,"URTH","2026-01-26","189.4700","190.3100","189.4700","189.9100","278600"
1493063,"URTH","2026-01-23","188.3900","189.1200","188.0200","188.8600","502500"
1493034,"URTH","2026-01-22","188.8600","189.1300","188.1400","188.5600","1321100"
1493005,"URTH","2026-01-21","186.3500","188.5500","185.8600","187.6600","503000"
1492976,"URTH","2026-01-20","186.6100","187.3900","185.4900","185.6400","411300"
1492943,"URTH","2026-01-16","189.6500","189.8100","188.7600","189.2100","249800"
1492914,"URTH","2026-01-15","190.0000","190.0700","189.0800","189.2500","246600"
1492885,"URTH","2026-01-14","189.0100","189.2800","188.0400","188.9300","232200"
1492856,"URTH","2026-01-13","190.0600","190.0900","188.9500","189.5300","260900"
1492827,"URTH","2026-01-12","189.0300","190.1300","189.0300","190.0500","638300"
1492798,"URTH","2026-01-09","188.7000","189.7700","188.3100","189.5300","650000"
1492769,"URTH","2026-01-08","187.9400","188.3300","187.6500","188.2400","490400"
1492740,"URTH","2026-01-07","188.8900","189.2400","188.1400","188.2200","314600"
1492711,"URTH","2026-01-06","188.1300","189.0800","188.0800","188.9800","466200"
1492682,"URTH","2026-01-05","187.3300","188.3200","187.3300","188.0100","508800"
1492653,"URTH","2026-01-02","187.2100","187.2300","185.5900","186.5100","307500"
1492624,"URTH","2025-12-31","187.0500","187.0500","185.6700","185.7700","211100"
1492595,"URTH","2025-12-30","187.2100","187.4800","186.9300","187.0100","333600"
1492566,"URTH","2025-12-29","187.0400","187.4900","186.6800","187.1000","684000"
1492537,"URTH","2025-12-24","187.2500","187.8500","187.1300","187.7200","163500"
1492508,"URTH","2025-12-23","186.3400","187.2600","186.3400","187.2100","206900"
1492479,"URTH","2025-12-22","185.9500","186.3700","185.6900","186.2900","443700"
1492450,"URTH","2025-12-19","184.3400","185.4600","184.2200","185.1800","921900"
1492421,"URTH","2025-12-18","183.9400","184.7200","183.3700","183.6700","258800"
1492392,"URTH","2025-12-17","184.2100","184.3900","182.2300","182.2900","558200"
1492363,"URTH","2025-12-16","184.3300","184.7300","183.2700","184.1900","397400"
1492334,"URTH","2025-12-15","185.8562","185.8562","184.4376","184.7650","1077100"
1492305,"URTH","2025-12-12","186.2926","186.3918","183.9417","184.5964","296000"
1492276,"URTH","2025-12-11","185.5288","186.4414","184.8344","186.3422","498700"
1492247,"URTH","2025-12-10","184.3682","186.0943","184.0607","185.6280","1259100"
1492218,"URTH","2025-12-09","184.4079","185.0130","184.2690","184.3880","301900"
1492189,"URTH","2025-12-08","185.3602","185.3602","184.0805","184.4178","391000"
1492160,"URTH","2025-12-05","185.2610","185.8363","184.8443","185.0824","278000"
1492131,"URTH","2025-12-04","185.1320","185.1320","184.1996","184.7551","372800"
1492102,"URTH","2025-12-03","183.6937","184.7551","183.4655","184.5666","210000"
1492073,"URTH","2025-12-02","183.8325","184.1996","183.2770","183.7929","466700"
1492044,"URTH","2025-12-01","183.0886","184.0607","183.0886","183.3465","363100"
1492015,"URTH","2025-11-28","183.4159","184.2888","183.3564","184.1698","413600"
1491982,"URTH","2025-11-26","182.4735","183.6044","182.3247","183.2473","469000"
1491953,"URTH","2025-11-25","180.0135","181.9478","179.0413","181.7494","820900"
1491924,"URTH","2025-11-24","178.5354","180.1126","178.1684","179.7059","886000"
