,symbol,currency,current_shares,total_investment,avg_cost,current_price,fx_rate,current_value,P&L,percentage_change
0,A,USD,100.0,12566.8943,125.6689,125.5434,1.0,12554.34,-12.5543,-0.0009989999999999721
1,ABBV,USD,188.0,16360.1991,87.0223,86.9354,1.0,16343.8552,-16.3439,-0.0009989999999999721
2,ABT,USD,120.0,13058.7137,108.8226,108.7139,1.0,13045.668,-13.0457,-0.0009989999999999721
3,ADM,USD,589.0,29486.5251,50.062,50.012,1.0,29457.068,-29.4571,-0.0009989999999999721
4,AEP,USD,262.0,18869.0166,72.0191,71.9472,1.0,18850.1664,-18.8502,-0.0009980000000000544
5,AES,USD,1292.0,29259.3089,22.6465,22.6239,1.0,29230.0788,-29.2301,-0.0009980000000000544
6,AMGN,USD,59.0,12722.289,215.632,215.4166,1.0,12709.5794,-12.7096,-0.0009989999999999721
7,BMY,USD,256.0,13238.9794,51.7148,51.6631,1.0,13225.7536,-13.2258,-0.0010000000000000009
8,CAG,USD,751.0,22235.2911,29.6076,29.578,1.0,22213.078,-22.2131,-0.0010000000000000009
9,CAH,USD,240.0,12959.7708,53.999,53.9451,1.0,12946.824,-12.9468,-0.0009980000000000544
10,CI,USD,66.0,14689.24,222.5642,222.3419,1.0,14674.5654,-14.6746,-0.0009989999999999721
11,CNP,USD,1136.0,22968.5552,20.2188,20.1986,1.0,22945.6096,-22.9456,-0.0009989999999999721
12,COO,USD,152.0,14742.8137,96.9922,96.8953,1.0,14728.0856,-14.7281,-0.0009989999999999721
13,CVS,USD,229.0,14606.5177,63.7839,63.7202,1.0,14591.9258,-14.5919,-0.0009989999999999721
14,DGX,USD,104.0,12226.3485,117.561,117.4436,1.0,12214.1344,-12.2141,-0.0009989999999999721
15,DTE,USD,248.0,24109.7216,97.2166,97.1195,1.0,24085.636,-24.0856,-0.0009989999999999721
16,DUK,USD,288.0,23013.7428,79.9088,79.829,1.0,22990.752,-22.9908,-0.0009989999999999721
17,EL,USD,82.0,22528.0287,274.7321,274.4576,1.0,22505.5232,-22.5055,-0.0009989999999999721
18,ETR,USD,466.0,19564.4703,41.9838,41.9419,1.0,19544.9254,-19.5449,-0.0009980000000000544
19,EXC,USD,966.0,25729.4181,26.635,26.6084,1.0,25703.7144,-25.7037,-0.0009989999999999721
20,FE,USD,679.0,19287.9307,28.4064,28.378,1.0,19268.662,-19.2687,-0.0010000000000000009
21,HCA,USD,86.0,15514.6686,180.4031,180.2229,1.0,15499.1694,-15.4992,-0.0009989999999999721
22,HOLX,USD,154.0,11462.8914,74.4344,74.36,1.0,11451.44,-11.4514,-0.0010000000000000009
23,HUM,USD,26.0,10236.07,393.695,393.3017,1.0,10225.8442,-10.2258,-0.0009989999999999721
24,ISRG,USD,44.0,11244.8736,255.5653,255.31,1.0,11233.64,-11.2336,-0.0009989999999999721
25,JNJ,USD,96.0,13637.9251,142.0617,141.9198,1.0,13624.3008,-13.6243,-0.0009989999999999721
26,KHC,USD,833.0,26470.779,31.7776,31.7459,1.0,26444.3347,-26.4443,-0.0009980000000000544
27,KO,USD,449.0,20450.0643,45.5458,45.5003,1.0,20429.6347,-20.4296,-0.0009989999999999721
28,KR,USD,645.0,21325.0087,33.062,33.029,1.0,21303.705,-21.3037,-0.0009980000000000544
29,LLY,USD,67.0,11796.8036,176.0717,175.8958,1.0,11785.0186,-11.785,-0.0009989999999999721
30,MCK,USD,83.0,15720.5332,189.404,189.2148,1.0,15704.8284,-15.7048,-0.0009989999999999721
31,MDLZ,USD,361.0,18679.4728,51.7437,51.692,1.0,18660.812,-18.6608,-0.0009989999999999721
32,MDT,USD,124.0,12812.2158,103.3243,103.2211,1.0,12799.4164,-12.7994,-0.0009989999999999721
33,MNST,USD,483.0,22588.3258,46.7667,46.72,1.0,22565.76,-22.5658,-0.0009989999999999721
34,MO,USD,855.0,29767.0648,34.8153,34.7805,1.0,29737.3275,-29.7373,-0.0010000000000000009
35,NRG,USD,757.0,24677.7964,32.5995,32.5669,1.0,24653.1433,-24.6531,-0.0010000000000000009
36,PEG,USD,440.0,22620.4699,51.4102,51.3588,1.0,22597.872,-22.5979,-0.0010000000000000009
37,PFE,USD,458.0,12957.6277,28.2918,28.2635,1.0,12944.683,-12.9447,-0.0010000000000000009
38,PM,USD,400.0,27976.5886,69.9415,69.8716,1.0,27948.64,-27.9486,-0.0009989999999999721
39,PPL,USD,912.0,21854.4742,23.9632,23.9393,1.0,21832.6416,-21.8326,-0.0009970000000000256
40,SJM,USD,189.0,20337.231,107.6044,107.4969,1.0,20316.9141,-20.3169,-0.0009989999999999721
41,SO,USD,389.0,20248.5006,52.0527,52.0007,1.0,20228.2723,-20.2283,-0.0009989999999999721
42,SRE,USD,374.0,21396.747,57.2106,57.1534,1.0,21375.3716,-21.3754,-0.0010000000000000009
43,SYK,USD,51.0,12046.1931,236.1999,235.9639,1.0,12034.1589,-12.0342,-0.0009989999999999721
44,SYY,USD,334.0,23232.6691,69.5589,69.4894,1.0,23209.4596,-23.2095,-0.0009989999999999721
45,TAP,USD,474.0,21561.9016,45.4892,45.4438,1.0,21540.3612,-21.5404,-0.0009980000000000544
46,TSN,USD,420.0,26923.9491,64.1046,64.0406,1.0,26897.052,-26.8971,-0.0009980000000000544
47,UNH,USD,43.0,14625.129,340.1193,339.7795,1.0,14610.5185,-14.6105,-0.0009989999999999721
