,symbol,currency,current_shares,total_investment,avg_cost,current_price,current_value,P&L,percentage_change,fx_rate
0,A,USD,94.0,11959.808637735849,127.232,149.8567,14086.5298,2126.7212,0.17782199999999992,1.0
1,ABBV,USD,160.0,14205.12584526841,88.782,100.861,16137.76,1932.6342,0.13605200000000006,1.0
2,ABT,USD,105.0,12234.1688,116.5159,114.1895,11989.8975,-244.2713,-0.01996600000000004,1.0
3,ADM,USD,521.0,26638.12212816884,51.1288,59.0291,30754.1611,4116.039,0.15451799999999993,1.0
4,AES,USD,1024.0,19600.201435973904,19.1408,20.7281,21225.5744,1625.373,0.08292799999999989,1.0
5,CI,USD,68.0,12694.5848,186.6851,196.5186,13363.2648,668.68,0.05267400000000011,1.0
6,CNA.L,GBp,32216.0,27068.1564,0.8402,66.9205,28884.1215,1815.9651,0.06709900000000002,74.64
7,CNP,USD,968.0,19916.021225287663,20.5744,23.8758,23111.7744,3195.7532,0.1604620000000001,1.0
8,COO,USD,138.0,13581.55679036194,98.4171,99.5765,13741.557,160.0002,0.011779999999999902,1.0
9,COST,USD,58.0,21351.953079411764,368.1371,519.139,30110.062,8758.1089,0.41017799999999993,1.0
10,CVS,USD,245.0,16363.73853213974,66.7908,80.9887,19842.2315,3478.493,0.2125729999999999,1.0
11,DGE.L,GBp,525.0,25446.53536486486,48.4696,3862.0452,27164.707,1718.1716,0.06752099999999994,74.64
12,DGX,USD,106.0,14311.720476363636,135.0162,138.2055,14649.783,338.0625,0.023622000000000032,1.0
13,DHR,USD,54.0,12745.361295238097,236.0252,271.9907,14687.4978,1942.1365,0.15237999999999996,1.0
14,DUK,USD,238.0,19263.348627870964,80.9384,85.3673,20317.4174,1054.0688,0.05471899999999996,1.0
15,EIX,USD,467.0,24004.9914,51.4026,52.9513,24728.2571,723.2657,0.030129000000000072,1.0
16,EW,USD,122.0,13085.982900917432,107.2622,112.63,13740.86,654.8771,0.05004399999999998,1.0
17,EXC,USD,977.0,26400.190906978096,27.0217,33.3185,32552.1745,6151.9836,0.233028,1.0
18,FE,USD,840.0,24874.675108423737,29.6127,32.742,27503.28,2628.6049,0.10567400000000005,1.0
19,GILD,USD,294.0,17148.0558,58.3267,59.832,17590.608,442.5522,0.025808000000000053,1.0
20,GIS,USD,435.0,23013.5671,52.9048,53.5354,23287.899,274.3319,0.01191999999999993,1.0
21,HCA,USD,75.0,14617.225368131869,194.8963,232.6475,17448.5625,2831.3371,0.19369900000000007,1.0
22,HSY,USD,157.0,24696.0596,157.2997,163.9746,25744.0122,1047.9526,0.04243400000000008,1.0
23,ISRG,USD,41.0,10953.257971428573,267.1526,335.9,13771.9,2818.642,0.25733399999999995,1.0
24,JNJ,USD,98.0,14106.082930879495,143.9396,142.1705,13932.709,-173.3739,-0.012291000000000052,1.0
25,KHC,USD,800.0,23753.363699999998,29.6917,28.7863,23029.04,-724.3237,-0.030492999999999992,1.0
26,KO,USD,476.0,21828.54512821879,45.8583,48.8742,23264.1192,1435.5741,0.06576599999999999,1.0
27,KR,USD,628.0,21298.774300493445,33.9152,39.2986,24679.5208,3380.7465,0.15873099999999996,1.0
28,LLY,USD,60.0,13714.883714000001,228.5814,251.9417,15116.502,1401.6183,0.1021970000000001,1.0
29,MDLZ,USD,380.0,20738.0894,54.5739,54.5638,20734.244,-3.8454,-0.00018499999999999073,1.0
30,MDT,USD,122.0,12741.019162195123,104.4346,98.2954,11992.0388,-748.9804,-0.058784999999999976,1.0
31,MKS.L,GBp,9879.0,24698.0187,2.5001,247.242,32723.7904,8025.7717,0.3249310000000001,74.64
32,MO,USD,949.0,32254.86019657757,33.9883,31.0679,29483.4371,-2771.4231,-0.085924,1.0
33,MRK,USD,179.0,13868.2217,77.4761,71.9907,12886.3353,-981.8864,-0.070801,1.0
34,PEG,USD,393.0,20324.399389521932,51.716,55.2515,21713.8395,1389.4401,0.06836400000000009,1.0
35,PEP,USD,182.0,23572.630235025383,129.5199,143.5121,26119.2022,2546.572,0.10803099999999999,1.0
36,PFE,USD,405.0,12034.730459024107,29.7154,40.9052,16566.606,4531.8755,0.37656599999999996,1.0
37,PG,USD,174.0,21585.0736,124.0521,134.2308,23356.1592,1771.0856,0.08205200000000001,1.0
38,PM,USD,379.0,26930.79735336884,71.0575,72.4413,27455.2527,524.4553,0.01947399999999999,1.0
39,PPL,USD,839.0,20306.5511438326,24.2033,24.5551,20601.7289,295.1778,0.014534999999999965,1.0
40,SO,USD,404.0,21234.013507992204,52.5594,53.9218,21784.4072,550.3937,0.025921000000000083,1.0
41,SRE,USD,390.0,22294.109146551178,57.1644,54.4129,21221.031,-1073.0781,-0.04813299999999998,1.0
42,STZ,USD,111.0,22666.2884,204.2008,219.8759,24406.2249,1739.9365,0.07676299999999991,1.0
43,SYK,USD,52.0,12440.723396491228,239.2447,242.8762,12629.5624,188.839,0.015179000000000054,1.0
44,SYY,USD,391.0,27924.0494,71.417,67.8635,26534.6285,-1389.4209,-0.04975700000000005,1.0
45,TMO,USD,21.0,11873.777147619046,565.418,624.8885,13122.6585,1248.8814,0.10518000000000005,1.0
46,TSN,USD,397.0,25765.3794530997,64.9002,72.2519,28684.0043,2918.6248,0.11327700000000007,1.0
47,UNH,USD,32.0,10908.787079512736,340.8996,413.3591,13227.4912,2318.7041,0.2125539999999999,1.0
48,WMT,USD,508.0,22300.432904879563,43.8985,45.8533,23293.4764,993.0435,0.04452999999999996,1.0
49,ZTS,USD,66.0,11081.214994736843,167.8972,213.1675,14069.055,2987.84,0.26963099999999995,1.0
