,symbol,gics_sector,currency,scores,weight,exec_price,exec_shares,investment,fees,fx_rate
0,ABBV,Health Care,USD,"{'total_score': 0.7818990384615384, 'momentum_score': 0.8850961538461538, 'fey_score': 0.7115384615384616, 'trend_score': 0.9038461538461539, 'risk_score': 0.5128205128205128, 'liquidity_score': 0.7307692307692307}",0.01635459509467735,156.164,14.0,2186.296,2.1863,1.0
1,ABF.L,Consumer Staples,GBp,"{'total_score': 0.5359615384615385, 'momentum_score': 0.7298076923076924, 'fey_score': 0.09134615384615384, 'trend_score': 0.875, 'risk_score': 0.3846153846153846, 'liquidity_score': 0.5}",0.02073415532017499,2253.4412,-36.0,-1034.0839,1.0341,78.45
2,ABT,Health Care,USD,"{'total_score': 0.6252644230769231, 'momentum_score': 0.6745192307692307, 'fey_score': 0.38461538461538464, 'trend_score': 0.8653846153846154, 'risk_score': 0.5673076923076923, 'liquidity_score': 0.6971153846153846}",0.013078346389388894,107.1749,-10.0,-1071.749,1.0717,1.0
3,AMGN,Health Care,USD,"{'total_score': 0.7511057692307692, 'momentum_score': 0.8644230769230768, 'fey_score': 0.5961538461538461, 'trend_score': 0.9423076923076923, 'risk_score': 0.5608974358974359, 'liquidity_score': 0.5384615384615384}",0.01571050752692497,301.7307,-5.0,-1508.6535,1.5087,1.0
4,BSX,Health Care,USD,"{'total_score': 0.710985576923077, 'momentum_score': 0.9524038461538461, 'fey_score': 0.2692307692307692, 'trend_score': 0.9230769230769231, 'risk_score': 0.5993589743589743, 'liquidity_score': 0.7163461538461539}",0.014871333326629325,64.37,-40.0,-2574.8,2.5748,1.0
5,CAH,Health Care,USD,"{'total_score': 0.7769951923076923, 'momentum_score': 0.9370192307692307, 'fey_score': 0.7692307692307693, 'trend_score': 0.9326923076923077, 'risk_score': 0.3493589743589744, 'liquidity_score': 0.3557692307692308}",0.016252023772412336,100.062,-18.0,-1801.116,1.8011,1.0
6,CHD,Consumer Staples,USD,"{'total_score': 0.6533413461538462, 'momentum_score': 0.9120192307692306, 'fey_score': 0.27884615384615385, 'trend_score': 0.7307692307692307, 'risk_score': 0.7435897435897436, 'liquidity_score': 0.13461538461538464}",0.02527509900641533,96.7519,29.0,2805.8051,2.8058,1.0
7,CI,Health Care,USD,"{'total_score': 0.6456250000000001, 'momentum_score': 0.5548076923076923, 'fey_score': 0.9134615384615384, 'trend_score': 0.7788461538461539, 'risk_score': 0.3173076923076923, 'liquidity_score': 0.3942307692307692}",0.01350421849702845,310.4768,-1.0,-310.4768,0.3105,1.0
8,CL,Consumer Staples,USD,"{'total_score': 0.6834134615384616, 'momentum_score': 0.8653846153846154, 'fey_score': 0.3557692307692308, 'trend_score': 0.8269230769230769, 'risk_score': 0.6185897435897436, 'liquidity_score': 0.6682692307692308}",0.026438465902071003,80.3282,29.0,2329.5178,2.3295,1.0
9,CNA.L,Utilities,GBp,"{'total_score': 0.5371634615384614, 'momentum_score': 0.7201923076923076, 'fey_score': 0.09134615384615384, 'trend_score': 0.7211538461538461, 'risk_score': 0.4679487179487179, 'liquidity_score': 0.9567307692307693}",0.020780652798018936,134.4442,-12.0,-20.5651,0.0206,78.45
10,CNC,Health Care,USD,"{'total_score': 0.6401201923076923, 'momentum_score': 0.5033653846153846, 'fey_score': 0.8846153846153846, 'trend_score': 0.75, 'risk_score': 0.4775641025641026, 'liquidity_score': 0.4230769230769231}",0.013389077159779973,75.41,9.0,678.69,0.6787,1.0
11,COO,,USD,,0.0,94.0725,-166.0,-15616.035,15.616,1.0
12,COST,Consumer Staples,USD,"{'total_score': 0.7107932692307691, 'momentum_score': 0.9504807692307692, 'fey_score': 0.21153846153846154, 'trend_score': 0.9903846153846154, 'risk_score': 0.6634615384615384, 'liquidity_score': 0.5528846153846154}",0.02749767844735622,701.7717,-2.0,-1403.5434,1.4035,1.0
13,CTEC.L,Health Care,GBp,"{'total_score': 0.512764423076923, 'momentum_score': 0.5639423076923076, 'fey_score': 0.09134615384615384, 'trend_score': 0.8557692307692307, 'risk_score': 0.5352564102564102, 'liquidity_score': 0.8221153846153846}",0.010725239584485582,235.6711,4089.0,12283.7365,12.2837,78.45
14,CVS,Health Care,USD,"{'total_score': 0.6006730769230769, 'momentum_score': 0.3817307692307692, 'fey_score': 0.9615384615384616, 'trend_score': 0.6153846153846154, 'risk_score': 0.4038461538461538, 'liquidity_score': 0.8605769230769231}",0.0125639813762658,67.3353,22.0,1481.3766,1.4814,1.0
15,DUK,Utilities,USD,"{'total_score': 0.5620913461538461, 'momentum_score': 0.45625, 'fey_score': 0.6153846153846154, 'trend_score': 0.6826923076923077, 'risk_score': 0.5993589743589743, 'liquidity_score': 0.4423076923076923}",0.021745010488502504,88.4649,14.0,1238.5086,1.2385,1.0
16,ED,Utilities,USD,"{'total_score': 0.5417788461538461, 'momentum_score': 0.6124999999999999, 'fey_score': 0.5096153846153846, 'trend_score': 0.46153846153846156, 'risk_score': 0.641025641025641, 'liquidity_score': 0.23076923076923078}",0.020959203112939712,84.3987,-3.0,-253.1961,0.2532,1.0
17,EIX,Utilities,USD,"{'total_score': 0.6154086538461537, 'momentum_score': 0.5879807692307691, 'fey_score': 0.8557692307692307, 'trend_score': 0.6538461538461539, 'risk_score': 0.30128205128205127, 'liquidity_score': 0.3942307692307692}",0.0238076386056602,59.6058,40.0,2384.232,2.3842,1.0
18,ETR,Utilities,USD,"{'total_score': 0.6190144230769231, 'momentum_score': 0.44855769230769227, 'fey_score': 0.9903846153846154, 'trend_score': 0.5384615384615384, 'risk_score': 0.625, 'liquidity_score': 0.25961538461538464}",0.023947131039192063,46.6957,10.0,466.957,0.467,1.0
19,FE,,USD,,0.0,33.5143,-649.0,-21750.7807,21.7508,1.0
20,GILD,Health Care,USD,"{'total_score': 0.6674759615384616, 'momentum_score': 0.54375, 'fey_score': 0.9423076923076923, 'trend_score': 0.7884615384615384, 'risk_score': 0.3108974358974359, 'liquidity_score': 0.7451923076923077}",0.013961264241826976,71.5215,2.0,143.043,0.143,1.0
21,GSK.L,Health Care,GBp,"{'total_score': 0.6060096153846153, 'momentum_score': 0.7499999999999999, 'fey_score': 0.09134615384615384, 'trend_score': 0.8076923076923077, 'risk_score': 0.75, 'liquidity_score': 0.9326923076923077}",0.012675603109318902,1609.7654,707.0,14507.3823,14.5074,78.45
22,HCA,Health Care,USD,"{'total_score': 0.6549278846153846, 'momentum_score': 0.7620192307692308, 'fey_score': 0.5288461538461539, 'trend_score': 0.8846153846153846, 'risk_score': 0.4166666666666667, 'liquidity_score': 0.3317307692307692}",0.013698802328972375,304.2834,-11.0,-3347.1174,3.3471,1.0
23,HLN.L,,GBp,,0.0,324.839,-3282.0,-13589.8228,13.5898,78.45
24,ISRG,Health Care,USD,"{'total_score': 0.6194711538461538, 'momentum_score': 0.875, 'fey_score': 0.19230769230769232, 'trend_score': 0.9615384615384616, 'risk_score': 0.32051282051282054, 'liquidity_score': 0.49519230769230765}",0.01295717144494836,383.77,-9.0,-3453.93,3.4539,1.0
