,date,initial_capital,investment_cost,investment_value,cash,net_capital,P&L,percentage_change
0,2021-04-02,1000000,0.0,0.0,1000000.0,1000000.0,0.0,0.0
1,2021-04-05,1000000,863835.233,862972.261,136164.767,999137.028,-862.9719999999506,-0.000863
2,2021-04-06,1000000,974794.1525,976357.9005,25205.84749999999,1001563.748,1563.7480000000214,0.001564
3,2021-04-07,1000000,974794.1525,974478.1383,25205.84749999999,999683.9858,-316.014199999976,-0.000316
4,2021-04-08,1000000,974794.1525,975143.2709,25205.84749999999,1000349.1184,349.11840000003576,0.000349
5,2021-04-09,1000000,974794.1525,978103.2533,25205.84749999999,1003309.1008,3309.1008000000147,0.003309
6,2021-04-12,1000000,974794.1525,980690.5643,25205.84749999999,1005896.4118,5896.411800000002,0.005896
7,2021-04-13,1000000,974794.1525,983759.5134,25205.84749999999,1008965.3609000001,8965.360900000087,0.008965
8,2021-04-14,1000000,974794.1525,984478.509,25205.84749999999,1009684.3565,9684.356499999994,0.009684
9,2021-04-15,1000000,974794.1525,995330.6082,25205.84749999999,1020536.4557,20536.45570000005,0.020536
10,2021-04-16,1000000,974794.1525,1002149.0844,25205.84749999999,1027354.9319000001,27354.931900000083,0.027355
11,2021-04-19,1000000,974794.1525,1000529.5697,25205.84749999999,1025735.4172,25735.417200000025,0.025735
12,2021-04-20,1000000,974794.1525,1003266.3575,25205.84749999999,1028472.2050000001,28472.205000000075,0.028472
13,2021-04-21,1000000,974794.1525,1008637.0624,25205.84749999999,1033842.9099000001,33842.909900000086,0.033843
14,2021-04-22,1000000,974794.1525,1003058.5225,25205.84749999999,1028264.37,28264.369999999995,0.028264
15,2021-04-23,1000000,974794.1525,1002109.2912,25205.84749999999,1027315.1387,27315.13870000001,0.027315
16,2021-04-26,1000000,974794.1525,996984.2371,25205.84749999999,1022190.0846000001,22190.08460000006,0.02219
17,2021-04-27,1000000,974794.1525,992668.8841,25205.84749999999,1017874.7316,17874.731600000057,0.017875
18,2021-04-28,1000000,974794.1525,992588.5869,25205.84749999999,1017794.4344,17794.434400000027,0.017794
19,2021-04-29,1000000,974794.1525,1000015.8908,25205.84749999999,1025221.7383000001,25221.738300000085,0.025222
20,2021-04-30,1000000,974794.1525,1000640.3505,25205.84749999999,1025846.198,25846.197999999975,0.025846
21,2021-05-03,1000000,974794.1525,1006126.472,25205.84749999999,1031332.3195,31332.319499999983,0.031332
22,2021-05-04,1000000,972461.5246,1003568.309,26476.759499999986,1030045.0685,30045.068500000052,0.030045
23,2021-05-05,1000000,972461.5246,1000003.0206,26476.759499999986,1026479.7801000001,26479.78010000009,0.02648
24,2021-05-06,1000000,972461.5246,1007290.4654,26476.759499999986,1033767.2249,33767.22490000003,0.033767
25,2021-05-07,1000000,972461.5246,1011628.7037,26476.759499999986,1038105.4631999999,38105.46319999988,0.038105
26,2021-05-10,1000000,972461.5246,1018118.9513,26476.759499999986,1044595.7108,44595.7108,0.044596
27,2021-05-11,1000000,972461.5246,1004653.3697,26476.759499999986,1031130.1292000001,31130.129200000083,0.03113
28,2021-05-12,1000000,972461.5246,991031.279,26476.759499999986,1017508.0385,17508.038500000024,0.017508
29,2021-05-13,1000000,972461.5246,1003038.2583,26476.759499999986,1029515.0178,29515.01780000003,0.029515
30,2021-05-14,1000000,972461.5246,1009378.0796,26476.759499999986,1035854.8391,35854.83909999998,0.035855
31,2021-05-17,1000000,972461.5246,1006679.3316,26476.759499999986,1033156.0911000001,33156.09110000008,0.033156
32,2021-05-18,1000000,972461.5246,1004567.2963,26476.759499999986,1031044.0558,31044.055799999973,0.031044
33,2021-05-19,1000000,972461.5246,1001903.24,26476.759499999986,1028379.9994999999,28379.999499999918,0.02838
34,2021-05-20,1000000,972461.5246,1009967.4761,26476.759499999986,1036444.2356,36444.235600000015,0.036444
35,2021-05-21,1000000,972461.5246,1013043.0628,26476.759499999986,1039519.8222999999,39519.82229999988,0.03952
36,2021-05-24,1000000,972461.5246,1015397.7925,26476.759499999986,1041874.5519999999,41874.55199999991,0.041875
37,2021-05-25,1000000,972461.5246,1011071.4805,26476.759499999986,1037548.24,37548.23999999999,0.037548
38,2021-05-26,1000000,972461.5246,1010467.5766,26476.759499999986,1036944.3361,36944.33609999996,0.036944
39,2021-05-27,1000000,972461.5246,1006629.5551,26476.759499999986,1033106.3145999999,33106.314599999925,0.033106
40,2021-05-28,1000000,972461.5246,1010289.1978,26476.759499999986,1036765.9572999999,36765.95729999989,0.036766
41,2021-05-31,1000000,972461.5246,1010068.6953,26476.759499999986,1036545.4548,36545.45479999995,0.036545
42,2021-06-01,1000000,972461.5246,1005749.6172,26476.759499999986,1032226.3766999999,32226.376699999906,0.032226
43,2021-06-02,1000000,970164.2994,1005644.3273,26779.808299999986,1032424.1356,32424.135600000038,0.032424
44,2021-06-03,1000000,970164.2994,1009000.4921,26779.808299999986,1035780.3004000001,35780.300400000066,0.03578
45,2021-06-04,1000000,970164.2994,1009049.988,26779.808299999986,1035829.7963,35829.796300000045,0.03583
46,2021-06-07,1000000,970164.2994,1010352.5182,26779.808299999986,1037132.3265000001,37132.32650000008,0.037132
47,2021-06-08,1000000,970164.2994,1004612.8853,26779.808299999986,1031392.6936,31392.6936,0.031393
48,2021-06-09,1000000,970164.2994,1006570.8156,26779.808299999986,1033350.6239,33350.623900000006,0.033351
49,2021-06-10,1000000,970164.2994,1012334.3177,26779.808299999986,1039114.126,39114.12600000005,0.039114
50,2021-06-11,1000000,970164.2994,1013366.7438,26779.808299999986,1040146.5521000001,40146.55210000009,0.040147
51,2021-06-14,1000000,970164.2994,1011561.7566,26779.808299999986,1038341.5649,38341.5649,0.038342
