,date,initial_capital,investment_cost,investment_value,cash,net_capital,P&L,percentage_change
0,2021-04-02,1000000,0.0,0.0,1000000.0,1000000.0,0.0,0.0
1,2021-04-05,1000000,848022.5284,847175.3529,151977.47159999993,999152.8245,-847.1755000000121,-0.000847
2,2021-04-06,1000000,974878.765,976204.9401,25121.234999999928,1001326.1750999999,1326.1750999998767,0.001326
3,2021-04-07,1000000,974878.765,974472.5244,25121.234999999928,999593.7593999999,-406.2406000001356,-0.000406
4,2021-04-08,1000000,974878.765,975183.6963,25121.234999999928,1000304.9312999998,304.93129999982193,0.000305
5,2021-04-09,1000000,974878.765,978142.0737,25121.234999999928,1003263.3086999999,3263.308699999936,0.003263
6,2021-04-12,1000000,974878.765,980556.9981,25121.234999999928,1005678.2330999998,5678.233099999838,0.005678
7,2021-04-13,1000000,974878.765,983467.1959,25121.234999999928,1008588.4309,8588.430900000036,0.008588
8,2021-04-14,1000000,974878.765,984062.6569,25121.234999999928,1009183.8918999999,9183.89189999993,0.009184
9,2021-04-15,1000000,974878.765,994942.7923,25121.234999999928,1020064.0273,20064.027299999958,0.020064
10,2021-04-16,1000000,974878.765,1001784.8582,25121.234999999928,1026906.0932,26906.093200000003,0.026906
11,2021-04-19,1000000,974878.765,1000462.4726,25121.234999999928,1025583.7075999998,25583.70759999985,0.025584
12,2021-04-20,1000000,974878.765,1003215.9562,25121.234999999928,1028337.1912,28337.1912,0.028337
13,2021-04-21,1000000,974878.765,1008345.7058,25121.234999999928,1033466.9408,33466.94079999998,0.033467
14,2021-04-22,1000000,974878.765,1002905.7225,25121.234999999928,1028026.9575,28026.95750000002,0.028027
15,2021-04-23,1000000,974878.765,1001770.0686,25121.234999999928,1026891.3036,26891.303599999985,0.026891
16,2021-04-26,1000000,974878.765,996463.673,25121.234999999928,1021584.9079999998,21584.90799999982,0.021585
17,2021-04-27,1000000,974878.765,992243.394,25121.234999999928,1017364.629,17364.628999999957,0.017365
18,2021-04-28,1000000,974878.765,992135.625,25121.234999999928,1017256.8599999999,17256.85999999987,0.017257
19,2021-04-29,1000000,974878.765,999341.1615,25121.234999999928,1024462.3965,24462.39650000003,0.024462
20,2021-04-30,1000000,974878.765,1000160.2297,25121.234999999928,1025281.4646999999,25281.464699999895,0.025281
21,2021-05-03,1000000,974878.765,1005672.5994,25121.234999999928,1030793.8343999998,30793.834399999818,0.030794
22,2021-05-04,1000000,972313.332,1002469.1105,27074.408299999926,1029543.5187999998,29543.518799999845,0.029544
23,2021-05-05,1000000,972313.332,999180.8636,27074.408299999926,1026255.2718999999,26255.271899999934,0.026255
24,2021-05-06,1000000,972313.332,1006767.7471,27074.408299999926,1033842.1553999999,33842.15539999993,0.033842
25,2021-05-07,1000000,972313.332,1011144.8786,27074.408299999926,1038219.2869,38219.28689999995,0.038219
26,2021-05-10,1000000,972313.332,1017779.2914,27074.408299999926,1044853.6996999999,44853.69969999988,0.044854
27,2021-05-11,1000000,972313.332,1004495.4732,27074.408299999926,1031569.8814999999,31569.8814999999,0.03157
28,2021-05-12,1000000,972313.332,991692.6654,27074.408299999926,1018767.0737,18767.07369999995,0.018767
29,2021-05-13,1000000,972313.332,1003214.5438,27074.408299999926,1030288.9520999999,30288.95209999988,0.030289
30,2021-05-14,1000000,972313.332,1009485.901,27074.408299999926,1036560.3092999998,36560.30929999985,0.03656
31,2021-05-17,1000000,972313.332,1006975.803,27074.408299999926,1034050.2112999998,34050.21129999985,0.03405
32,2021-05-18,1000000,972313.332,1005256.7422,27074.408299999926,1032331.1504999999,32331.150499999872,0.032331
33,2021-05-19,1000000,972313.332,1002685.6431,27074.408299999926,1029760.0513999999,29760.05139999988,0.02976
34,2021-05-20,1000000,972313.332,1010735.8176,27074.408299999926,1037810.2258999998,37810.225899999845,0.03781
35,2021-05-21,1000000,972313.332,1013840.0048,27074.408299999926,1040914.4130999999,40914.41309999989,0.040914
36,2021-05-24,1000000,972313.332,1016057.1064,27074.408299999926,1043131.5146999999,43131.51469999994,0.043132
37,2021-05-25,1000000,972313.332,1011846.7149,27074.408299999926,1038921.1231999999,38921.123199999915,0.038921
38,2021-05-26,1000000,972313.332,1011500.8096,27074.408299999926,1038575.2178999999,38575.21789999993,0.038575
39,2021-05-27,1000000,972313.332,1007335.7594,27074.408299999926,1034410.1676999999,34410.167699999874,0.03441
40,2021-05-28,1000000,972313.332,1010963.5307,27074.408299999926,1038037.9389999999,38037.9389999999,0.038038
41,2021-05-31,1000000,972313.332,1010679.3145,27074.408299999926,1037753.7227999999,37753.72279999987,0.037754
42,2021-06-01,1000000,972313.332,1006402.8376,27074.408299999926,1033477.2458999999,33477.24589999986,0.033477
43,2021-06-02,1000000,970798.3473,1007391.2719,26407.367199999928,1033798.6391,33798.63910000003,0.033799
44,2021-06-03,1000000,970798.3473,1010610.2043,26407.367199999928,1037017.5715,37017.57149999996,0.037018
45,2021-06-04,1000000,970798.3473,1010445.0969,26407.367199999928,1036852.4641,36852.46409999998,0.036852
46,2021-06-07,1000000,970798.3473,1012052.9173,26407.367199999928,1038460.2845,38460.28449999995,0.03846
47,2021-06-08,1000000,970798.3473,1006269.5371,26407.367199999928,1032676.9042999999,32676.904299999936,0.032677
48,2021-06-09,1000000,970798.3473,1008314.5443,26407.367199999928,1034721.9114999999,34721.91149999993,0.034722
49,2021-06-10,1000000,970798.3473,1014098.4324,26407.367199999928,1040505.7996,40505.79960000003,0.040506
50,2021-06-11,1000000,970798.3473,1015082.803,26407.367199999928,1041490.1701999999,41490.170199999935,0.04149
51,2021-06-14,1000000,970798.3473,1013271.4151,26407.367199999928,1039678.7823,39678.78229999996,0.039679
52,2021-06-15,1000000,970798.3473,1013299.2883,26407.367199999928,1039706.6555,39706.65549999999,0.039707
53,2021-06-16,1000000,970798.3473,1002770.5746,26407.367199999928,1029177.9418,29177.94180000003,0.029178
54,2021-06-17,1000000,970798.3473,1003528.816,26407.367199999928,1029936.1832,29936.18319999997,0.029936
55,2021-06-18,1000000,970798.3473,984278.1855,26407.367199999928,1010685.5527,10685.5527,0.010686
56,2021-06-21,1000000,970798.3473,997042.4789,26407.367199999928,1023449.8461,23449.846099999966,0.02345
57,2021-06-22,1000000,970798.3473,996895.081,26407.367199999928,1023302.4482,23302.448199999984,0.023302
58,2021-06-23,1000000,970798.3473,990534.9062,26407.367199999928,1016942.2734,16942.273399999947,0.016942
59,2021-06-24,1000000,970798.3473,992882.3326,26407.367199999928,1019289.6998,19289.699799999944,0.01929
60,2021-06-25,1000000,970798.3473,999597.3099,26407.367199999928,1026004.6771,26004.67709999997,0.026005
61,2021-06-28,1000000,970798.3473,999022.8885,26407.367199999928,1025430.2557,25430.25569999998,0.02543
62,2021-06-29,1000000,970798.3473,992962.0965,26407.367199999928,1019369.4637,19369.463699999964,0.019369
63,2021-06-30,1000000,970798.3473,993119.8748,26407.367199999928,1019527.242,19527.24199999997,0.019527
64,2021-07-01,1000000,970798.3473,1000341.2192,26407.367199999928,1026748.5864,26748.58640000003,0.026749
65,2021-07-02,1000000,970013.0055,998758.5753,29452.53059999993,1028211.1059,28211.105899999966,0.028211
66,2021-07-05,1000000,970013.0055,1000338.6435,29452.53059999993,1029791.1741,29791.174099999946,0.029791
67,2021-07-06,1000000,970013.0055,997698.2209,29452.53059999993,1027150.7514999999,27150.751499999897,0.027151
68,2021-07-07,1000000,970013.0055,1002806.1609,29452.53059999993,1032258.6915,32258.691499999957,0.032259
69,2021-07-08,1000000,970013.0055,997157.346,29452.53059999993,1026609.8766,26609.87659999996,0.02661
70,2021-07-09,1000000,970013.0055,1002948.3789,29452.53059999993,1032400.9095,32400.90949999995,0.032401
71,2021-07-12,1000000,970013.0055,1004067.5055,29452.53059999993,1033520.0360999999,33520.03609999991,0.03352
72,2021-07-13,1000000,970013.0055,998916.7888,29452.53059999993,1028369.3193999999,28369.31939999992,0.028369
73,2021-07-14,1000000,970013.0055,1000641.3573,29452.53059999993,1030093.8879,30093.887899999972,0.030094
74,2021-07-15,1000000,970013.0055,1002078.7133,29452.53059999993,1031531.2438999999,31531.243899999885,0.031531
