,date,initial_capital,investment_cost,investment_value,cash,net_capital,P&L,percentage_change
0,2021-04-02,1000000,0.0,0.0,1000000.0,1000000.0,0.0,0.0
1,2021-04-05,1000000,863491.9237,862629.2944,136508.07629999984,999137.3706999999,-862.629300000146,-0.000863
2,2021-04-06,1000000,976748.5373,977703.7146,23251.46269999983,1000955.1772999997,955.1772999997484,0.000955
3,2021-04-07,1000000,976748.5373,977026.2074,23251.46269999983,1000277.6700999998,277.6700999997556,0.000278
4,2021-04-08,1000000,976748.5373,977844.2906,23251.46269999983,1001095.7532999997,1095.7532999997493,0.001096
5,2021-04-09,1000000,976748.5373,981818.4309,23251.46269999983,1005069.8935999998,5069.893599999836,0.00507
6,2021-04-12,1000000,976748.5373,984005.0754,23251.46269999983,1007256.5380999998,7256.538099999772,0.007257
7,2021-04-13,1000000,976748.5373,985729.8672,23251.46269999983,1008981.3298999998,8981.329899999779,0.008981
8,2021-04-14,1000000,976748.5373,986842.6643,23251.46269999983,1010094.1269999997,10094.126999999746,0.010094
9,2021-04-15,1000000,976748.5373,996264.5731,23251.46269999983,1019516.0357999998,19516.035799999838,0.019516
10,2021-04-16,1000000,976748.5373,1003723.8295,23251.46269999983,1026975.2921999998,26975.292199999793,0.026975
11,2021-04-19,1000000,976748.5373,1001546.5962,23251.46269999983,1024798.0588999998,24798.05889999983,0.024798
12,2021-04-20,1000000,976748.5373,1003323.876,23251.46269999983,1026575.3386999998,26575.338699999847,0.026575
13,2021-04-21,1000000,976748.5373,1009323.7424,23251.46269999983,1032575.2050999998,32575.20509999979,0.032575
14,2021-04-22,1000000,976748.5373,1003219.7604,23251.46269999983,1026471.2230999998,26471.22309999983,0.026471
15,2021-04-23,1000000,976748.5373,1003860.7685,23251.46269999983,1027112.2311999998,27112.231199999806,0.027112
16,2021-04-26,1000000,976748.5373,998199.7502,23251.46269999983,1021451.2128999998,21451.21289999981,0.021451
17,2021-04-27,1000000,976748.5373,994741.7768,23251.46269999983,1017993.2394999998,17993.239499999792,0.017993
18,2021-04-28,1000000,976748.5373,995753.1046,23251.46269999983,1019004.5672999998,19004.567299999762,0.019005
19,2021-04-29,1000000,976748.5373,1003535.3472,23251.46269999983,1026786.8098999998,26786.80989999976,0.026787
20,2021-04-30,1000000,976748.5373,1003428.7145,23251.46269999983,1026680.1771999998,26680.1771999998,0.02668
21,2021-05-03,1000000,976748.5373,1009545.2944,23251.46269999983,1032796.7570999998,32796.75709999981,0.032797
22,2021-05-04,1000000,980148.3121,1007914.4852,22517.146599999814,1030431.6317999999,30431.631799999857,0.030432
23,2021-05-05,1000000,980148.3121,1004971.4887,22517.146599999814,1027488.6352999998,27488.63529999985,0.027489
24,2021-05-06,1000000,980148.3121,1012028.506,22517.146599999814,1034545.6525999999,34545.652599999914,0.034546
25,2021-05-07,1000000,980148.3121,1017611.4108,22517.146599999814,1040128.5573999998,40128.557399999816,0.040129
26,2021-05-10,1000000,980148.3121,1023216.7394,22517.146599999814,1045733.8859999998,45733.885999999824,0.045734
27,2021-05-11,1000000,980148.3121,1010235.7731,22517.146599999814,1032752.9196999999,32752.919699999853,0.032753
28,2021-05-12,1000000,980148.3121,995816.3161,22517.146599999814,1018333.4626999999,18333.462699999916,0.018333
29,2021-05-13,1000000,980148.3121,1007635.7655,22517.146599999814,1030152.9120999998,30152.91209999984,0.030153
30,2021-05-14,1000000,980148.3121,1015792.8652,22517.146599999814,1038310.0117999999,38310.01179999986,0.03831
31,2021-05-17,1000000,980148.3121,1014223.3625,22517.146599999814,1036740.5090999999,36740.50909999991,0.036741
32,2021-05-18,1000000,980148.3121,1011004.4019,22517.146599999814,1033521.5484999999,33521.54849999992,0.033522
33,2021-05-19,1000000,980148.3121,1007370.2065,22517.146599999814,1029887.3530999998,29887.353099999833,0.029887
34,2021-05-20,1000000,980148.3121,1014427.1655,22517.146599999814,1036944.3120999999,36944.312099999865,0.036944
35,2021-05-21,1000000,980148.3121,1016770.35,22517.146599999814,1039287.4965999998,39287.49659999984,0.039287
36,2021-05-24,1000000,980148.3121,1021106.43,22517.146599999814,1043623.5765999999,43623.57659999991,0.043624
37,2021-05-25,1000000,980148.3121,1016916.1978,22517.146599999814,1039433.3443999998,39433.34439999983,0.039433
38,2021-05-26,1000000,980148.3121,1016666.858,22517.146599999814,1039184.0045999999,39184.00459999987,0.039184
39,2021-05-27,1000000,980148.3121,1013764.6497,22517.146599999814,1036281.7962999998,36281.79629999981,0.036282
40,2021-05-28,1000000,980148.3121,1017460.7446,22517.146599999814,1039977.8911999998,39977.89119999984,0.039978
41,2021-05-31,1000000,980148.3121,1017313.0754,22517.146599999814,1039830.2219999998,39830.221999999834,0.03983
42,2021-06-01,1000000,980148.3121,1013184.2075,22517.146599999814,1035701.3540999999,35701.35409999988,0.035701
43,2021-06-02,1000000,976595.1548,1010581.3156,23900.917599999815,1034482.2331999998,34482.233199999784,0.034482
44,2021-06-03,1000000,976595.1548,1013905.1146,23900.917599999815,1037806.0321999998,37806.03219999978,0.037806
45,2021-06-04,1000000,976595.1548,1013877.2082,23900.917599999815,1037778.1257999998,37778.125799999805,0.037778
46,2021-06-07,1000000,976595.1548,1013908.8225,23900.917599999815,1037809.7400999998,37809.74009999982,0.03781
47,2021-06-08,1000000,976595.1548,1009645.0649,23900.917599999815,1033545.9824999998,33545.98249999981,0.033546
48,2021-06-09,1000000,976595.1548,1010582.6045,23900.917599999815,1034483.5220999998,34483.52209999983,0.034484
49,2021-06-10,1000000,976595.1548,1015205.891,23900.917599999815,1039106.8085999998,39106.80859999976,0.039107
50,2021-06-11,1000000,976595.1548,1016628.1074,23900.917599999815,1040529.0249999998,40529.02499999979,0.040529
51,2021-06-14,1000000,976595.1548,1014014.2178,23900.917599999815,1037915.1353999998,37915.135399999795,0.037915
52,2021-06-15,1000000,976595.1548,1013761.8641,23900.917599999815,1037662.7816999998,37662.78169999982,0.037663
53,2021-06-16,1000000,976595.1548,1003566.1245,23900.917599999815,1027467.0420999998,27467.042099999846,0.027467
54,2021-06-17,1000000,976595.1548,1004044.9265,23900.917599999815,1027945.8440999998,27945.844099999755,0.027946
55,2021-06-18,1000000,976595.1548,984745.3444,23900.917599999815,1008646.2619999998,8646.261999999755,0.008646
56,2021-06-21,1000000,976595.1548,999446.449,23900.917599999815,1023347.3665999998,23347.366599999834,0.023347
57,2021-06-22,1000000,976595.1548,998781.1292,23900.917599999815,1022682.0467999998,22682.046799999778,0.022682
58,2021-06-23,1000000,976595.1548,993061.7589,23900.917599999815,1016962.6764999998,16962.676499999827,0.016963
59,2021-06-24,1000000,976595.1548,995182.589,23900.917599999815,1019083.5065999998,19083.506599999848,0.019084
60,2021-06-25,1000000,976595.1548,1001814.4372,23900.917599999815,1025715.3547999999,25715.354799999855,0.025715
61,2021-06-28,1000000,976595.1548,1000707.0381,23900.917599999815,1024607.9556999998,24607.955699999817,0.024608
62,2021-06-29,1000000,976595.1548,994646.3998,23900.917599999815,1018547.3173999998,18547.317399999825,0.018547
63,2021-06-30,1000000,976595.1548,995265.3994,23900.917599999815,1019166.3169999998,19166.316999999806,0.019166
64,2021-07-01,1000000,976595.1548,1001725.7267,23900.917599999815,1025626.6442999998,25626.64429999981,0.025627
65,2021-07-02,1000000,971709.0376,999984.3134,27163.896299999804,1027148.2096999998,27148.209699999774,0.027148
66,2021-07-05,1000000,971709.0376,1000930.4879,27163.896299999804,1028094.3841999997,28094.38419999974,0.028094
67,2021-07-06,1000000,971709.0376,997551.7874,27163.896299999804,1024715.6836999998,24715.68369999982,0.024716
68,2021-07-07,1000000,971709.0376,1003458.9284,27163.896299999804,1030622.8246999998,30622.824699999765,0.030623
69,2021-07-08,1000000,971709.0376,998904.966,27163.896299999804,1026068.8622999998,26068.862299999804,0.026069
70,2021-07-09,1000000,971709.0376,1004975.7619,27163.896299999804,1032139.6581999998,32139.65819999983,0.03214
71,2021-07-12,1000000,971709.0376,1005727.2947,27163.896299999804,1032891.1909999998,32891.19099999976,0.032891
72,2021-07-13,1000000,971709.0376,1000993.2346,27163.896299999804,1028157.1308999998,28157.130899999756,0.028157
73,2021-07-14,1000000,971709.0376,1004691.0876,27163.896299999804,1031854.9838999998,31854.98389999976,0.031855
74,2021-07-15,1000000,971709.0376,1007784.5924,27163.896299999804,1034948.4886999998,34948.488699999754,0.034948
75,2021-07-16,1000000,971709.0376,1009733.929,27163.896299999804,1036897.8252999998,36897.82529999979,0.036898
76,2021-07-19,1000000,971709.0376,997852.893,27163.896299999804,1025016.7892999998,25016.78929999983,0.025017
77,2021-07-20,1000000,971709.0376,1006194.0067,27163.896299999804,1033357.9029999998,33357.90299999982,0.033358
78,2021-07-21,1000000,971709.0376,1005927.0335,27163.896299999804,1033090.9297999998,33090.92979999981,0.033091
79,2021-07-22,1000000,971709.0376,1007607.3921,27163.896299999804,1034771.2883999998,34771.288399999845,0.034771
80,2021-07-23,1000000,971709.0376,1017510.3822,27163.896299999804,1044674.2784999998,44674.27849999978,0.044674
81,2021-07-26,1000000,971709.0376,1016519.8961,27163.896299999804,1043683.7923999998,43683.7923999998,0.043684
82,2021-07-27,1000000,971709.0376,1023958.487,27163.896299999804,1051122.3832999999,51122.38329999987,0.051122
83,2021-07-28,1000000,971709.0376,1020818.503,27163.896299999804,1047982.3992999998,47982.399299999815,0.047982
84,2021-07-29,1000000,971709.0376,1025716.6157,27163.896299999804,1052880.5119999999,52880.51199999987,0.052881
85,2021-07-30,1000000,971709.0376,1022086.6057,27163.896299999804,1049250.5019999999,49250.50199999986,0.049251
86,2021-08-02,1000000,971709.0376,1023184.0446,27163.896299999804,1050347.9408999998,50347.94089999981,0.050348
87,2021-08-03,1000000,968590.6609,1023905.9392,35186.0805999998,1059092.0198,59092.01979999989,0.059092
88,2021-08-04,1000000,968590.6609,1013953.107,35186.0805999998,1049139.1875999998,49139.18759999983,0.049139
89,2021-08-05,1000000,968590.6609,1017598.1679,35186.0805999998,1052784.2484999998,52784.248499999754,0.052784
90,2021-08-06,1000000,968590.6609,1019132.953,35186.0805999998,1054319.0335999997,54319.03359999973,0.054319
91,2021-08-09,1000000,968590.6609,1020427.3435,35186.0805999998,1055613.4240999997,55613.42409999971,0.055613
92,2021-08-10,1000000,968590.6609,1023732.3239,35186.0805999998,1058918.4044999997,58918.40449999971,0.058918
93,2021-08-11,1000000,968590.6609,1027135.3798,35186.0805999998,1062321.4603999997,62321.46039999975,0.062321
94,2021-08-12,1000000,968590.6609,1030331.4395,35186.0805999998,1065517.5200999998,65517.52009999985,0.065518
95,2021-08-13,1000000,968590.6609,1036933.479,35186.0805999998,1072119.5595999998,72119.5595999998,0.07212
96,2021-08-16,1000000,968590.6609,1042851.6371,35186.0805999998,1078037.7177,78037.71769999992,0.078038
97,2021-08-17,1000000,968590.6609,1045971.1375,35186.0805999998,1081157.2180999997,81157.2180999997,0.081157
98,2021-08-18,1000000,968590.6609,1033819.0976,35186.0805999998,1069005.1781999997,69005.17819999973,0.069005
99,2021-08-19,1000000,968590.6609,1037721.269,35186.0805999998,1072907.3495999998,72907.34959999984,0.072907
100,2021-08-20,1000000,968590.6609,1042708.4597,35186.0805999998,1077894.5402999998,77894.54029999976,0.077895
101,2021-08-23,1000000,968590.6609,1044723.8819,35186.0805999998,1079909.9625,79909.9624999999,0.07991
102,2021-08-24,1000000,968590.6609,1039136.7101,35186.0805999998,1074322.7906999998,74322.79069999978,0.074323
103,2021-08-25,1000000,968590.6609,1039726.5691,35186.0805999998,1074912.6496999997,74912.64969999972,0.074913
104,2021-08-26,1000000,968590.6609,1034158.5677,35186.0805999998,1069344.6482999998,69344.64829999977,0.069345
105,2021-08-27,1000000,968590.6609,1035710.1167,35186.0805999998,1070896.1972999999,70896.19729999988,0.070896
106,2021-08-30,1000000,968590.6609,1039743.4738,35186.0805999998,1074929.5543999998,74929.55439999979,0.07493
107,2021-08-31,1000000,968590.6609,1039790.3056,35186.0805999998,1074976.3861999998,74976.38619999983,0.074976
108,2021-09-01,1000000,968590.6609,1043398.7037,35186.0805999998,1078584.7842999997,78584.78429999971,0.078585
109,2021-09-02,1000000,972449.158,1052010.9503,33884.27949999981,1085895.2297999996,85895.22979999962,0.085895
110,2021-09-03,1000000,972449.158,1050124.6074,33884.27949999981,1084008.8868999998,84008.88689999981,0.084009
111,2021-09-06,1000000,972449.158,1050527.2078,33884.27949999981,1084411.4872999997,84411.48729999969,0.084411
112,2021-09-07,1000000,972449.158,1039840.0814,33884.27949999981,1073724.3608999997,73724.36089999974,0.073724
113,2021-09-08,1000000,972449.158,1047051.3173,33884.27949999981,1080935.5967999997,80935.59679999971,0.080936
114,2021-09-09,1000000,972449.158,1037138.5102,33884.27949999981,1071022.7896999998,71022.78969999985,0.071023
115,2021-09-10,1000000,972449.158,1027977.505,33884.27949999981,1061861.7844999998,61861.784499999834,0.061862
116,2021-09-13,1000000,972449.158,1027462.0243,33884.27949999981,1061346.3037999999,61346.30379999988,0.061346
117,2021-09-14,1000000,972449.158,1023602.6826,33884.27949999981,1057486.9620999997,57486.962099999655,0.057487
118,2021-09-15,1000000,972449.158,1025561.0784,33884.27949999981,1059445.3578999997,59445.35789999971,0.059445
119,2021-09-16,1000000,972449.158,1020552.7084,33884.27949999981,1054436.9878999998,54436.98789999983,0.054437
120,2021-09-17,1000000,972449.158,1012719.7727,33884.27949999981,1046604.0521999998,46604.0521999998,0.046604
121,2021-09-20,1000000,972449.158,1004502.9298,33884.27949999981,1038387.2092999999,38387.20929999987,0.038387
122,2021-09-21,1000000,972449.158,1004844.8244,33884.27949999981,1038729.1038999999,38729.10389999987,0.038729
123,2021-09-22,1000000,972449.158,1005010.3142,33884.27949999981,1038894.5936999999,38894.59369999985,0.038895
124,2021-09-23,1000000,972449.158,1006747.3648,33884.27949999981,1040631.6442999998,40631.64429999981,0.040632
125,2021-09-24,1000000,972449.158,1006257.8574,33884.27949999981,1040142.1368999998,40142.13689999981,0.040142
126,2021-09-27,1000000,972449.158,997416.5397,33884.27949999981,1031300.8191999998,31300.819199999794,0.031301
127,2021-09-28,1000000,972449.158,984134.4122,33884.27949999981,1018018.6916999999,18018.69169999985,0.018019
128,2021-09-29,1000000,972449.158,991727.1401,33884.27949999981,1025611.4195999998,25611.41959999979,0.025611
129,2021-09-30,1000000,972449.158,976396.5227,33884.27949999981,1010280.8021999998,10280.802199999802,0.010281
130,2021-10-01,1000000,972449.158,977281.6893,33884.27949999981,1011165.9687999998,11165.968799999799,0.011166
131,2021-10-04,1000000,970888.6601,986212.2331,25012.039299999793,1011224.2723999998,11224.272399999783,0.011224
132,2021-10-05,1000000,970888.6601,990704.0445,25012.039299999793,1015716.0837999998,15716.08379999979,0.015716
133,2021-10-06,1000000,970888.6601,994595.0372,25012.039299999793,1019607.0764999999,19607.07649999985,0.019607
