,date,initial_capital,investment_cost,investment_value,cash,net_capital,P&L,percentage_change
0,2021-04-02,1000000,0.0,0.0,1000000.0,1000000.0,0.0,0.0
1,2021-04-05,1000000,823328.1545,822505.649,176671.84550000005,999177.4945,-822.5054999999702,-0.000823
2,2021-04-06,1000000,974316.3516,975545.0989,25683.648400000064,1001228.7473,1228.7473000000464,0.001229
3,2021-04-07,1000000,974316.3516,973640.6007,25683.648400000064,999324.2491,-675.7508999999845,-0.000676
4,2021-04-08,1000000,974316.3516,974077.8421,25683.648400000064,999761.4905000001,-238.50949999992736,-0.000239
5,2021-04-09,1000000,974316.3516,976450.6939,25683.648400000064,1002134.3423,2134.3423000000184,0.002134
6,2021-04-12,1000000,974316.3516,978835.8356,25683.648400000064,1004519.484,4519.484000000055,0.004519
7,2021-04-13,1000000,974316.3516,982375.2026,25683.648400000064,1008058.851,8058.851000000024,0.008059
8,2021-04-14,1000000,974316.3516,982900.2568,25683.648400000064,1008583.9052,8583.905200000037,0.008584
9,2021-04-15,1000000,974316.3516,994382.266,25683.648400000064,1020065.9144,20065.91440000001,0.020066
10,2021-04-16,1000000,974316.3516,1001082.5926,25683.648400000064,1026766.241,26766.24100000004,0.026766
11,2021-04-19,1000000,974316.3516,1000505.5855,25683.648400000064,1026189.2339000001,26189.23390000011,0.026189
12,2021-04-20,1000000,974316.3516,1003985.4945,25683.648400000064,1029669.1429000001,29669.142900000094,0.029669
13,2021-04-21,1000000,974316.3516,1008462.929,25683.648400000064,1034146.5774000001,34146.57740000007,0.034147
14,2021-04-22,1000000,974316.3516,1003276.6221,25683.648400000064,1028960.2705000001,28960.2705000001,0.02896
15,2021-04-23,1000000,974316.3516,1001430.1987,25683.648400000064,1027113.8471,27113.847100000014,0.027114
16,2021-04-26,1000000,974316.3516,996107.5886,25683.648400000064,1021791.2370000001,21791.23700000008,0.021791
17,2021-04-27,1000000,974316.3516,991497.2246,25683.648400000064,1017180.873,17180.87300000002,0.017181
18,2021-04-28,1000000,974316.3516,990992.7352,25683.648400000064,1016676.3836000001,16676.38360000006,0.016676
19,2021-04-29,1000000,974316.3516,997851.3402,25683.648400000064,1023534.9886,23534.98860000004,0.023535
20,2021-04-30,1000000,974316.3516,999391.5138,25683.648400000064,1025075.1622,25075.16220000002,0.025075
21,2021-05-03,1000000,974316.3516,1004492.3267,25683.648400000064,1030175.9751,30175.97510000004,0.030176
22,2021-05-04,1000000,974333.4722,1003399.52,25790.109400000067,1029189.6294000001,29189.629400000093,0.02919
23,2021-05-05,1000000,974333.4722,999998.8924,25790.109400000067,1025789.0018000001,25789.001800000085,0.025789
24,2021-05-06,1000000,974333.4722,1007889.0369,25790.109400000067,1033679.1463,33679.14630000002,0.033679
25,2021-05-07,1000000,974333.4722,1011977.5922,25790.109400000067,1037767.7016,37767.70160000003,0.037768
26,2021-05-10,1000000,974333.4722,1019198.7332,25790.109400000067,1044988.8426000001,44988.84260000009,0.044989
27,2021-05-11,1000000,974333.4722,1005682.9989,25790.109400000067,1031473.1083000001,31473.10830000008,0.031473
28,2021-05-12,1000000,974333.4722,994179.7337,25790.109400000067,1019969.8431,19969.843100000056,0.01997
29,2021-05-13,1000000,974333.4722,1005114.644,25790.109400000067,1030904.7534,30904.753400000045,0.030905
30,2021-05-14,1000000,974333.4722,1010783.8701,25790.109400000067,1036573.9795,36573.979500000016,0.036574
31,2021-05-17,1000000,974333.4722,1008105.7486,25790.109400000067,1033895.8580000001,33895.858000000124,0.033896
32,2021-05-18,1000000,974333.4722,1006877.0454,25790.109400000067,1032667.1548,32667.15480000002,0.032667
33,2021-05-19,1000000,974333.4722,1004950.658,25790.109400000067,1030740.7674000001,30740.767400000128,0.030741
34,2021-05-20,1000000,974333.4722,1013229.4142,25790.109400000067,1039019.5236000001,39019.52360000007,0.03902
35,2021-05-21,1000000,974333.4722,1016641.967,25790.109400000067,1042432.0764,42432.07640000002,0.042432
36,2021-05-24,1000000,974333.4722,1018035.8526,25790.109400000067,1043825.962,43825.96200000006,0.043826
37,2021-05-25,1000000,974333.4722,1013947.1169,25790.109400000067,1039737.2263000001,39737.2263000001,0.039737
38,2021-05-26,1000000,974333.4722,1013664.7886,25790.109400000067,1039454.898,39454.898000000045,0.039455
39,2021-05-27,1000000,974333.4722,1008640.5665,25790.109400000067,1034430.6759,34430.67590000003,0.034431
40,2021-05-28,1000000,974333.4722,1012339.5728,25790.109400000067,1038129.6822,38129.68220000004,0.03813
41,2021-05-31,1000000,974333.4722,1011893.9443,25790.109400000067,1037684.0537,37684.05370000005,0.037684
42,2021-06-01,1000000,974333.4722,1007509.6333,25790.109400000067,1033299.7427000001,33299.74270000006,0.0333
43,2021-06-02,1000000,970053.8103,1006422.0088,27818.034200000075,1034240.0430000001,34240.04300000006,0.03424
44,2021-06-03,1000000,970053.8103,1009378.3245,27818.034200000075,1037196.3587000001,37196.3587000001,0.037196
45,2021-06-04,1000000,970053.8103,1009188.1447,27818.034200000075,1037006.1789,37006.17890000006,0.037006
46,2021-06-07,1000000,970053.8103,1011271.5591,27818.034200000075,1039089.5933000001,39089.593300000066,0.03909
47,2021-06-08,1000000,970053.8103,1005294.347,27818.034200000075,1033112.3812000001,33112.38120000006,0.033112
48,2021-06-09,1000000,970053.8103,1007464.8417,27818.034200000075,1035282.8759000001,35282.8759000001,0.035283
49,2021-06-10,1000000,970053.8103,1013668.2668,27818.034200000075,1041486.3010000001,41486.301000000094,0.041486
50,2021-06-11,1000000,970053.8103,1014789.8019,27818.034200000075,1042607.8361000001,42607.83610000007,0.042608
51,2021-06-14,1000000,970053.8103,1012983.1946,27818.034200000075,1040801.2288000002,40801.22880000016,0.040801
52,2021-06-15,1000000,970053.8103,1013260.6141,27818.034200000075,1041078.6483000001,41078.64830000012,0.041079
53,2021-06-16,1000000,970053.8103,1002810.054,27818.034200000075,1030628.0882000001,30628.088200000115,0.030628
54,2021-06-17,1000000,970053.8103,1004178.6663,27818.034200000075,1031996.7005000002,31996.70050000015,0.031997
55,2021-06-18,1000000,970053.8103,985034.1857,27818.034200000075,1012852.2199000001,12852.219900000142,0.012852
56,2021-06-21,1000000,970053.8103,996820.6082,27818.034200000075,1024638.6424000001,24638.642400000128,0.024639
57,2021-06-22,1000000,970053.8103,997120.5695,27818.034200000075,1024938.6037000001,24938.603700000094,0.024939
58,2021-06-23,1000000,970053.8103,990697.0536,27818.034200000075,1018515.0878000001,18515.087800000096,0.018515
59,2021-06-24,1000000,970053.8103,992838.2499,27818.034200000075,1020656.2841000002,20656.284100000164,0.020656
60,2021-06-25,1000000,970053.8103,999859.9921,27818.034200000075,1027678.0263000001,27678.026300000143,0.027678
61,2021-06-28,1000000,970053.8103,999746.959,27818.034200000075,1027564.9932000001,27564.993200000143,0.027565
62,2021-06-29,1000000,970053.8103,993748.4996,27818.034200000075,1021566.5338000001,21566.533800000092,0.021567
63,2021-06-30,1000000,970053.8103,993431.5842,27818.034200000075,1021249.6184000002,21249.618400000152,0.02125
64,2021-07-01,1000000,970053.8103,1000811.3797,27818.034200000075,1028629.4139000002,28629.41390000016,0.028629
65,2021-07-02,1000000,974311.3886,1001198.1942,28682.85190000007,1029881.0461000002,29881.046100000152,0.029881
66,2021-07-05,1000000,974311.3886,1002902.9463,28682.85190000007,1031585.7982000001,31585.798200000077,0.031586
67,2021-07-06,1000000,974311.3886,1000642.2046,28682.85190000007,1029325.0565000002,29325.05650000018,0.029325
68,2021-07-07,1000000,974311.3886,1005641.755,28682.85190000007,1034324.6069000001,34324.60690000013,0.034325
69,2021-07-08,1000000,974311.3886,999629.8036,28682.85190000007,1028312.6555000001,28312.65550000011,0.028313
70,2021-07-09,1000000,974311.3886,1005174.6738,28682.85190000007,1033857.5257000001,33857.525700000115,0.033858
71,2021-07-12,1000000,974311.3886,1006296.722,28682.85190000007,1034979.5739000001,34979.573900000076,0.03498
72,2021-07-13,1000000,974311.3886,1001105.2458,28682.85190000007,1029788.0977000002,29788.09770000016,0.029788
73,2021-07-14,1000000,974311.3886,1002131.0805,28682.85190000007,1030813.9324000002,30813.932400000165,0.030814
74,2021-07-15,1000000,974311.3886,1003301.5026,28682.85190000007,1031984.3545000001,31984.354500000132,0.031984
