,date,initial_capital,investment_cost,investment_value,cash,net_capital,P&L,percentage_change
0,2021-04-02,1000000,0.0,0.0,1000000.0,1000000.0,0.0,0.0
1,2021-04-05,1000000,817784.4776,816967.51,182215.5223999999,999183.0323999999,-816.9676000000909,-0.000817
2,2021-04-06,1000000,971370.058,973294.8235,28629.941999999894,1001924.7655,1924.7654999999795,0.001925
3,2021-04-07,1000000,971370.058,970553.8202,28629.941999999894,999183.7621999999,-816.237800000119,-0.000816
4,2021-04-08,1000000,971370.058,971816.506,28629.941999999894,1000446.448,446.44799999997485,0.000446
5,2021-04-09,1000000,971370.058,974438.9069,28629.941999999894,1003068.8488999999,3068.8488999998663,0.003069
6,2021-04-12,1000000,971370.058,977444.4142,28629.941999999894,1006074.3561999999,6074.356199999922,0.006074
7,2021-04-13,1000000,971370.058,980236.999,28629.941999999894,1008866.9409999999,8866.940999999875,0.008867
8,2021-04-14,1000000,971370.058,981058.8557,28629.941999999894,1009688.7976999999,9688.79769999988,0.009689
9,2021-04-15,1000000,971370.058,993005.9849,28629.941999999894,1021635.9269,21635.926899999962,0.021636
10,2021-04-16,1000000,971370.058,999879.7623,28629.941999999894,1028509.7042999999,28509.704299999867,0.02851
11,2021-04-19,1000000,971370.058,998377.0116,28629.941999999894,1027006.9535999999,27006.95359999989,0.027007
12,2021-04-20,1000000,971370.058,1000721.7871,28629.941999999894,1029351.7290999999,29351.72909999988,0.029352
13,2021-04-21,1000000,971370.058,1007285.5297,28629.941999999894,1035915.4716999999,35915.47169999988,0.035915
14,2021-04-22,1000000,971370.058,1003495.319,28629.941999999894,1032125.2609999999,32125.26099999994,0.032125
15,2021-04-23,1000000,971370.058,1003568.6042,28629.941999999894,1032198.5461999999,32198.546199999866,0.032199
16,2021-04-26,1000000,971370.058,998926.7691,28629.941999999894,1027556.7111,27556.711099999957,0.027557
17,2021-04-27,1000000,971370.058,995250.6739,28629.941999999894,1023880.6159,23880.615899999975,0.023881
18,2021-04-28,1000000,971370.058,995268.4272,28629.941999999894,1023898.3692,23898.369199999957,0.023898
19,2021-04-29,1000000,971370.058,1002546.2663,28629.941999999894,1031176.2082999999,31176.20829999994,0.031176
20,2021-04-30,1000000,971370.058,1002288.8042,28629.941999999894,1030918.7461999999,30918.746199999936,0.030919
21,2021-05-03,1000000,971370.058,1007795.4539,28629.941999999894,1036425.3958999999,36425.39589999989,0.036425
22,2021-05-04,1000000,972265.4634,1007015.3522,27748.447099999892,1034763.7992999998,34763.79929999984,0.034764
23,2021-05-05,1000000,972265.4634,1003578.2856,27748.447099999892,1031326.7326999998,31326.73269999982,0.031327
24,2021-05-06,1000000,972265.4634,1011075.6053,27748.447099999892,1038824.0523999999,38824.05239999993,0.038824
25,2021-05-07,1000000,972265.4634,1016418.972,27748.447099999892,1044167.4190999998,44167.419099999825,0.044167
26,2021-05-10,1000000,972265.4634,1021365.2035,27748.447099999892,1049113.6505999998,49113.65059999982,0.049114
27,2021-05-11,1000000,972265.4634,1007976.9994,27748.447099999892,1035725.4464999998,35725.446499999845,0.035725
28,2021-05-12,1000000,972265.4634,994527.0092,27748.447099999892,1022275.4562999998,22275.456299999845,0.022275
29,2021-05-13,1000000,972265.4634,1006368.9737,27748.447099999892,1034117.4207999998,34117.42079999985,0.034117
30,2021-05-14,1000000,972265.4634,1012489.9552,27748.447099999892,1040238.4022999998,40238.40229999984,0.040238
31,2021-05-17,1000000,972265.4634,1010103.0298,27748.447099999892,1037851.4768999999,37851.47689999989,0.037851
32,2021-05-18,1000000,972265.4634,1008310.0801,27748.447099999892,1036058.5271999999,36058.527199999895,0.036059
33,2021-05-19,1000000,972265.4634,1006012.5604,27748.447099999892,1033761.0074999998,33761.00749999983,0.033761
34,2021-05-20,1000000,972265.4634,1014370.7015,27748.447099999892,1042119.1485999998,42119.14859999984,0.042119
35,2021-05-21,1000000,972265.4634,1018064.3873,27748.447099999892,1045812.8343999998,45812.83439999982,0.045813
36,2021-05-24,1000000,972265.4634,1020727.3037,27748.447099999892,1048475.7507999999,48475.75079999992,0.048476
37,2021-05-25,1000000,972265.4634,1016493.0742,27748.447099999892,1044241.5212999999,44241.521299999906,0.044242
38,2021-05-26,1000000,972265.4634,1016484.8795,27748.447099999892,1044233.3265999999,44233.32659999991,0.044233
39,2021-05-27,1000000,972265.4634,1012285.5182,27748.447099999892,1040033.9652999999,40033.96529999992,0.040034
40,2021-05-28,1000000,972265.4634,1016252.3365,27748.447099999892,1044000.7835999998,44000.78359999985,0.044001
41,2021-05-31,1000000,972265.4634,1015854.4348,27748.447099999892,1043602.8818999999,43602.88189999992,0.043603
42,2021-06-01,1000000,972265.4634,1012512.5812,27748.447099999892,1040261.0282999999,40261.02829999989,0.040261
43,2021-06-02,1000000,967287.2161,1010831.5731,29695.56219999989,1040527.1353,40527.135299999965,0.040527
44,2021-06-03,1000000,967287.2161,1013882.4621,29695.56219999989,1043578.0242999999,43578.02429999993,0.043578
45,2021-06-04,1000000,967287.2161,1014185.0644,29695.56219999989,1043880.6266,43880.62659999996,0.043881
46,2021-06-07,1000000,967287.2161,1015791.6774,29695.56219999989,1045487.2396,45487.23959999997,0.045487
47,2021-06-08,1000000,967287.2161,1011967.9718,29695.56219999989,1041663.534,41663.533999999985,0.041664
48,2021-06-09,1000000,967287.2161,1012757.1036,29695.56219999989,1042452.6658,42452.66579999996,0.042453
49,2021-06-10,1000000,967287.2161,1018583.4673,29695.56219999989,1048279.0295,48279.029499999946,0.048279
50,2021-06-11,1000000,967287.2161,1020623.4963,29695.56219999989,1050319.0584999998,50319.05849999981,0.050319
51,2021-06-14,1000000,967287.2161,1019157.2679,29695.56219999989,1048852.8301,48852.830099999905,0.048853
52,2021-06-15,1000000,967287.2161,1019385.1169,29695.56219999989,1049080.6790999998,49080.679099999834,0.049081
53,2021-06-16,1000000,967287.2161,1010232.0399,29695.56219999989,1039927.6020999999,39927.6020999999,0.039928
54,2021-06-17,1000000,967287.2161,1009996.1563,29695.56219999989,1039691.7185,39691.71849999996,0.039692
55,2021-06-18,1000000,967287.2161,990585.5695,29695.56219999989,1020281.1316999999,20281.13169999991,0.020281
56,2021-06-21,1000000,967287.2161,1003036.6586,29695.56219999989,1032732.2207999999,32732.220799999894,0.032732
57,2021-06-22,1000000,967287.2161,1002486.1486,29695.56219999989,1032181.7107999999,32181.710799999884,0.032182
58,2021-06-23,1000000,967287.2161,996678.314,29695.56219999989,1026373.8761999999,26373.87619999994,0.026374
59,2021-06-24,1000000,967287.2161,1000298.8253,29695.56219999989,1029994.3875,29994.387499999953,0.029994
60,2021-06-25,1000000,967287.2161,1006269.6264,29695.56219999989,1035965.1885999999,35965.18859999988,0.035965
61,2021-06-28,1000000,967287.2161,1005996.0666,29695.56219999989,1035691.6288,35691.62879999995,0.035692
62,2021-06-29,1000000,967287.2161,999650.0734,29695.56219999989,1029345.6355999999,29345.63559999992,0.029346
63,2021-06-30,1000000,967287.2161,999610.6012,29695.56219999989,1029306.1634,29306.16339999996,0.029306
64,2021-07-01,1000000,967287.2161,1006656.3328,29695.56219999989,1036351.8949999999,36351.8949999999,0.036352
65,2021-07-02,1000000,967882.3663,1005754.7372,31603.55119999988,1037358.2883999998,37358.288399999845,0.037358
66,2021-07-05,1000000,967882.3663,1006800.8726,31603.55119999988,1038404.4237999999,38404.42379999987,0.038404
67,2021-07-06,1000000,967882.3663,1004344.1493,31603.55119999988,1035947.7004999999,35947.70049999992,0.035948
68,2021-07-07,1000000,967882.3663,1010365.3558,31603.55119999988,1041968.9069999999,41968.90699999989,0.041969
69,2021-07-08,1000000,967882.3663,1003272.5798,31603.55119999988,1034876.1309999998,34876.13099999982,0.034876
70,2021-07-09,1000000,967882.3663,1010157.2832,31603.55119999988,1041760.8343999998,41760.83439999982,0.041761
71,2021-07-12,1000000,967882.3663,1011849.2723,31603.55119999988,1043452.8234999998,43452.823499999824,0.043453
72,2021-07-13,1000000,967882.3663,1006240.8747,31603.55119999988,1037844.4258999999,37844.425899999915,0.037844
73,2021-07-14,1000000,967882.3663,1007589.8004,31603.55119999988,1039193.3515999998,39193.35159999982,0.039193
74,2021-07-15,1000000,967882.3663,1008993.6728,31603.55119999988,1040597.2239999998,40597.22399999981,0.040597
75,2021-07-16,1000000,967882.3663,1011920.2994,31603.55119999988,1043523.8505999999,43523.85059999989,0.043524
76,2021-07-19,1000000,967882.3663,998618.3142,31603.55119999988,1030221.8653999999,30221.865399999893,0.030222
77,2021-07-20,1000000,967882.3663,1005861.4705,31603.55119999988,1037465.0216999999,37465.021699999925,0.037465
78,2021-07-21,1000000,967882.3663,1005322.252,31603.55119999988,1036925.8031999998,36925.80319999985,0.036926
79,2021-07-22,1000000,967882.3663,1006643.8883,31603.55119999988,1038247.4394999999,38247.43949999986,0.038247
80,2021-07-23,1000000,967882.3663,1017424.7445,31603.55119999988,1049028.2957,49028.2956999999,0.049028
81,2021-07-26,1000000,967882.3663,1016064.9941,31603.55119999988,1047668.5452999999,47668.54529999988,0.047669
82,2021-07-27,1000000,967882.3663,1022471.4812,31603.55119999988,1054075.0324,54075.03239999991,0.054075
83,2021-07-28,1000000,967882.3663,1020191.9072,31603.55119999988,1051795.4584,51795.45839999989,0.051795
84,2021-07-29,1000000,967882.3663,1025264.6272,31603.55119999988,1056868.1783999999,56868.17839999986,0.056868
85,2021-07-30,1000000,967882.3663,1021020.553,31603.55119999988,1052624.1042,52624.10419999994,0.052624
86,2021-08-02,1000000,967882.3663,1023318.9278,31603.55119999988,1054922.4789999998,54922.47899999982,0.054922
87,2021-08-03,1000000,953555.0049,1022851.745,37615.009199999884,1060466.7541999999,60466.75419999985,0.060467
88,2021-08-04,1000000,953555.0049,1015147.8809,37615.009199999884,1052762.8901,52762.89009999996,0.052763
89,2021-08-05,1000000,953555.0049,1018479.171,37615.009199999884,1056094.1801999998,56094.18019999983,0.056094
90,2021-08-06,1000000,953555.0049,1019537.9673,37615.009199999884,1057152.9764999999,57152.97649999987,0.057153
91,2021-08-09,1000000,953555.0049,1020122.5979,37615.009199999884,1057737.6071,57737.60709999991,0.057738
92,2021-08-10,1000000,953555.0049,1021445.4067,37615.009199999884,1059060.4159,59060.415899999905,0.05906
93,2021-08-11,1000000,953555.0049,1023810.3426,37615.009199999884,1061425.3517999998,61425.35179999983,0.061425
94,2021-08-12,1000000,953555.0049,1025958.2676,37615.009199999884,1063573.2767999999,63573.276799999876,0.063573
95,2021-08-13,1000000,953555.0049,1032214.4613,37615.009199999884,1069829.4704999998,69829.47049999982,0.069829
96,2021-08-16,1000000,953555.0049,1038774.5297,37615.009199999884,1076389.5388999998,76389.53889999981,0.07639
97,2021-08-17,1000000,953555.0049,1041321.6376,37615.009199999884,1078936.6468,78936.64679999999,0.078937
98,2021-08-18,1000000,953555.0049,1029824.1358,37615.009199999884,1067439.145,67439.14500000002,0.067439
99,2021-08-19,1000000,953555.0049,1031732.734,37615.009199999884,1069347.7432,69347.74319999991,0.069348
100,2021-08-20,1000000,953555.0049,1036118.6299,37615.009199999884,1073733.6391,73733.63910000003,0.073734
101,2021-08-23,1000000,953555.0049,1035067.2968,37615.009199999884,1072682.3059999999,72682.30599999987,0.072682
102,2021-08-24,1000000,953555.0049,1030591.7819,37615.009199999884,1068206.7910999998,68206.7910999998,0.068207
103,2021-08-25,1000000,953555.0049,1030787.668,37615.009199999884,1068402.6771999998,68402.6771999998,0.068403
104,2021-08-26,1000000,953555.0049,1028431.3387,37615.009199999884,1066046.3479,66046.34789999994,0.066046
105,2021-08-27,1000000,953555.0049,1029418.6656,37615.009199999884,1067033.6748,67033.67479999992,0.067034
106,2021-08-30,1000000,953555.0049,1032986.9433,37615.009199999884,1070601.9525,70601.9524999999,0.070602
107,2021-08-31,1000000,953555.0049,1033807.98,37615.009199999884,1071422.9892,71422.98919999995,0.071423
108,2021-09-01,1000000,953555.0049,1039452.9839,37615.009199999884,1077067.9930999998,77067.99309999985,0.077068
109,2021-09-02,1000000,948427.4273,1043844.7655,39893.7672999999,1083738.5328,83738.53279999993,0.083739
110,2021-09-03,1000000,948427.4273,1040352.0337,39893.7672999999,1080245.801,80245.80099999998,0.080246
111,2021-09-06,1000000,948427.4273,1041317.0863,39893.7672999999,1081210.8535999998,81210.8535999998,0.081211
112,2021-09-07,1000000,948427.4273,1030548.8672,39893.7672999999,1070442.6345,70442.63449999993,0.070443
113,2021-09-08,1000000,948427.4273,1036642.5958,39893.7672999999,1076536.3631,76536.36309999996,0.076536
114,2021-09-09,1000000,948427.4273,1028694.4919,39893.7672999999,1068588.2592,68588.25919999997,0.068588
115,2021-09-10,1000000,948427.4273,1019592.4034,39893.7672999999,1059486.1707,59486.1706999999,0.059486
116,2021-09-13,1000000,948427.4273,1017891.3406,39893.7672999999,1057785.1079,57785.107899999944,0.057785
117,2021-09-14,1000000,948427.4273,1014692.2163,39893.7672999999,1054585.9836,54585.98359999992,0.054586
118,2021-09-15,1000000,948427.4273,1014392.0788,39893.7672999999,1054285.8461,54285.846099999966,0.054286
119,2021-09-16,1000000,948427.4273,1010437.9924,39893.7672999999,1050331.7596999998,50331.75969999982,0.050332
120,2021-09-17,1000000,948427.4273,1002594.6013,39893.7672999999,1042488.3685999999,42488.36859999993,0.042488
121,2021-09-20,1000000,948427.4273,994692.3468,39893.7672999999,1034586.1141,34586.114100000006,0.034586
122,2021-09-21,1000000,948427.4273,995955.1748,39893.7672999999,1035848.9421,35848.942099999986,0.035849
123,2021-09-22,1000000,948427.4273,997309.0972,39893.7672999999,1037202.8644999999,37202.86449999991,0.037203
124,2021-09-23,1000000,948427.4273,998617.9668,39893.7672999999,1038511.7341,38511.7341,0.038512
125,2021-09-24,1000000,948427.4273,997121.1172,39893.7672999999,1037014.8844999999,37014.88449999993,0.037015
126,2021-09-27,1000000,948427.4273,987521.0211,39893.7672999999,1027414.7884,27414.78839999996,0.027415
127,2021-09-28,1000000,948427.4273,974356.8836,39893.7672999999,1014250.6508999999,14250.650899999891,0.014251
128,2021-09-29,1000000,948427.4273,981445.589,39893.7672999999,1021339.3563,21339.356299999985,0.021339
129,2021-09-30,1000000,948427.4273,966737.4616,39893.7672999999,1006631.2289,6631.228899999987,0.006631
130,2021-10-01,1000000,948427.4273,967209.9587,39893.7672999999,1007103.7259999999,7103.725999999908,0.007104
131,2021-10-04,1000000,944540.4888,978862.9082,29143.562899999913,1008006.4710999998,8006.47109999985,0.008006
132,2021-10-05,1000000,944540.4888,984436.5213,29143.562899999913,1013580.0841999999,13580.084199999925,0.01358
133,2021-10-06,1000000,944540.4888,986663.6484,29143.562899999913,1015807.2112999998,15807.21129999985,0.015807
134,2021-10-07,1000000,944540.4888,989296.0417,29143.562899999913,1018439.6045999998,18439.604599999846,0.01844
135,2021-10-08,1000000,944540.4888,985534.9947,29143.562899999913,1014678.5576,14678.557599999942,0.014679
136,2021-10-11,1000000,944540.4888,979593.9172,29143.562899999913,1008737.4800999999,8737.480099999928,0.008737
137,2021-10-12,1000000,944540.4888,981754.2877,29143.562899999913,1010897.8505999999,10897.850599999889,0.010898
138,2021-10-13,1000000,944540.4888,985870.2941,29143.562899999913,1015013.857,15013.85699999996,0.015014
139,2021-10-14,1000000,944540.4888,998969.9876,29143.562899999913,1028113.5504999999,28113.550499999896,0.028114
140,2021-10-15,1000000,944540.4888,998072.7735,29143.562899999913,1027216.3363999999,27216.336399999913,0.027216
141,2021-10-18,1000000,944540.4888,993654.9409,29143.562899999913,1022798.5038,22798.503799999948,0.022799
142,2021-10-19,1000000,944540.4888,997996.5421,29143.562899999913,1027140.1049999999,27140.104999999865,0.02714
143,2021-10-20,1000000,944540.4888,1008627.2798,29143.562899999913,1037770.8426999999,37770.84269999992,0.037771
144,2021-10-21,1000000,944540.4888,1009795.865,29143.562899999913,1038939.4278999999,38939.42789999989,0.038939
145,2021-10-22,1000000,944540.4888,1017019.8298,29143.562899999913,1046163.3926999999,46163.39269999985,0.046163
146,2021-10-25,1000000,944540.4888,1016125.5454,29143.562899999913,1045269.1082999998,45269.10829999985,0.045269
147,2021-10-26,1000000,944540.4888,1018802.3616,29143.562899999913,1047945.9244999998,47945.92449999985,0.047946
148,2021-10-27,1000000,944540.4888,1011069.3187,29143.562899999913,1040212.8815999998,40212.88159999985,0.040213
149,2021-10-28,1000000,944540.4888,1016562.7979,29143.562899999913,1045706.3607999999,45706.36079999991,0.045706
150,2021-10-29,1000000,944540.4888,1015823.1678,29143.562899999913,1044966.7307,44966.73069999996,0.044967
151,2021-11-01,1000000,944540.4888,1018137.0025,29143.562899999913,1047280.5653999998,47280.56539999985,0.047281
152,2021-11-02,1000000,955752.0424,1016421.8665,34086.596999999936,1050508.4634999998,50508.46349999984,0.050508
153,2021-11-03,1000000,955752.0424,1020974.5855,34086.596999999936,1055061.1824999999,55061.18249999988,0.055061
154,2021-11-04,1000000,955752.0424,1020469.8251,34086.596999999936,1054556.4220999999,54556.42209999985,0.054556
155,2021-11-05,1000000,955752.0424,1020508.5886,34086.596999999936,1054595.1856,54595.18559999997,0.054595
156,2021-11-08,1000000,955752.0424,1017349.8838,34086.596999999936,1051436.4807999998,51436.48079999979,0.051436
157,2021-11-09,1000000,955752.0424,1020015.5712,34086.596999999936,1054102.1682,54102.16819999996,0.054102
158,2021-11-10,1000000,955752.0424,1027236.4827,34086.596999999936,1061323.0797,61323.079699999886,0.061323
159,2021-11-11,1000000,955752.0424,1025921.9402,34086.596999999936,1060008.5372,60008.537199999904,0.060009
160,2021-11-12,1000000,955752.0424,1027409.8197,34086.596999999936,1061496.4167,61496.41669999994,0.061496
161,2021-11-15,1000000,955752.0424,1032400.5456,34086.596999999936,1066487.1426,66487.1425999999,0.066487
162,2021-11-16,1000000,955752.0424,1030115.6981,34086.596999999936,1064202.2951,64202.29509999999,0.064202
163,2021-11-17,1000000,955752.0424,1028870.6509,34086.596999999936,1062957.2478999998,62957.24789999984,0.062957
164,2021-11-18,1000000,955752.0424,1029273.6691,34086.596999999936,1063360.2661,63360.26609999989,0.06336
165,2021-11-19,1000000,955752.0424,1027631.1909,34086.596999999936,1061717.7878999999,61717.78789999988,0.061718
166,2021-11-22,1000000,955752.0424,1030178.6586,34086.596999999936,1064265.2555999998,64265.2555999998,0.064265
167,2021-11-23,1000000,955752.0424,1030529.3042,34086.596999999936,1064615.9012,64615.901199999964,0.064616
168,2021-11-24,1000000,955752.0424,1029123.3614,34086.596999999936,1063209.9584,63209.95839999989,0.06321
169,2021-11-25,1000000,955752.0424,1030228.9265,34086.596999999936,1064315.5235,64315.523499999894,0.064316
170,2021-11-26,1000000,955752.0424,1011547.4712,34086.596999999936,1045634.0682,45634.06819999998,0.045634
171,2021-11-29,1000000,955752.0424,1019410.9036,34086.596999999936,1053497.5006,53497.50059999991,0.053498
172,2021-11-30,1000000,955752.0424,995976.9253,34086.596999999936,1030063.5223,30063.522299999953,0.030064
173,2021-12-01,1000000,955752.0424,994499.6157,34086.596999999936,1028586.2126999999,28586.212699999916,0.028586
174,2021-12-02,1000000,937500.3066,1000460.5403,36707.44369999994,1037167.9839999999,37167.98399999994,0.037168
175,2021-12-03,1000000,937500.3066,1005909.8696,36707.44369999994,1042617.3132999999,42617.31329999992,0.042617
176,2021-12-06,1000000,937500.3066,1018234.6378,36707.44369999994,1054942.0814999999,54942.081499999855,0.054942
177,2021-12-07,1000000,937500.3066,1028869.0434,36707.44369999994,1065576.4870999998,65576.4870999998,0.065576
178,2021-12-08,1000000,937500.3066,1027607.9834,36707.44369999994,1064315.4271,64315.42709999997,0.064315
179,2021-12-09,1000000,937500.3066,1028182.6974,36707.44369999994,1064890.1411,64890.14109999989,0.06489
180,2021-12-10,1000000,937500.3066,1036274.9103,36707.44369999994,1072982.3539999998,72982.35399999982,0.072982
181,2021-12-13,1000000,937500.3066,1040933.6956,36707.44369999994,1077641.1393,77641.13929999992,0.077641
182,2021-12-14,1000000,937500.3066,1034293.0371,36707.44369999994,1071000.4807999998,71000.48079999979,0.071
183,2021-12-15,1000000,937500.3066,1047857.9984,36707.44369999994,1084565.4420999999,84565.44209999987,0.084565
184,2021-12-16,1000000,937500.3066,1051875.3853,36707.44369999994,1088582.829,88582.82899999991,0.088583
185,2021-12-17,1000000,937500.3066,1043339.1843,36707.44369999994,1080046.6279999998,80046.6279999998,0.080047
186,2021-12-20,1000000,937500.3066,1039242.6081,36707.44369999994,1075950.0517999998,75950.05179999978,0.07595
187,2021-12-21,1000000,937500.3066,1042797.3121,36707.44369999994,1079504.7558,79504.75579999993,0.079505
188,2021-12-22,1000000,937500.3066,1052489.0426,36707.44369999994,1089196.4863,89196.48629999999,0.089196
189,2021-12-23,1000000,937500.3066,1056473.6621,36707.44369999994,1093181.1058,93181.10580000002,0.093181
190,2021-12-24,1000000,937500.3066,1056846.4313,36707.44369999994,1093553.875,93553.875,0.093554
191,2021-12-27,1000000,937500.3066,1064092.4263,36707.44369999994,1100799.8699999999,100799.86999999988,0.1008
192,2021-12-28,1000000,937500.3066,1068451.6047,36707.44369999994,1105159.0484,105159.04839999997,0.105159
193,2021-12-29,1000000,937500.3066,1075242.079,36707.44369999994,1111949.5226999999,111949.52269999986,0.11195
194,2021-12-30,1000000,937500.3066,1076404.7677,36707.44369999994,1113112.2114,113112.21139999991,0.113112
195,2021-12-31,1000000,937500.3066,1076815.2859,36707.44369999994,1113522.7296,113522.72959999996,0.113523
196,2022-01-03,1000000,937500.3066,1071065.7409,36707.44369999994,1107773.1846,107773.18460000004,0.107773
197,2022-01-04,1000000,990119.9825,1074658.6341,30738.42379999993,1105397.0579,105397.0578999999,0.105397
198,2022-01-05,1000000,990119.9825,1072210.4135,30738.42379999993,1102948.8373,102948.83730000001,0.102949
199,2022-01-06,1000000,990119.9825,1065041.3396,30738.42379999993,1095779.7634,95779.76340000005,0.09578
200,2022-01-07,1000000,990119.9825,1064912.0535,30738.42379999993,1095650.4773,95650.47729999991,0.09565
201,2022-01-10,1000000,990119.9825,1064128.2243,30738.42379999993,1094866.6480999999,94866.64809999987,0.094867
202,2022-01-11,1000000,990119.9825,1063294.7231,30738.42379999993,1094033.1469,94033.14690000005,0.094033
203,2022-01-12,1000000,990119.9825,1062896.4247,30738.42379999993,1093634.8485,93634.84850000008,0.093635
204,2022-01-13,1000000,990119.9825,1062636.6134,30738.42379999993,1093375.0372,93375.0371999999,0.093375
205,2022-01-14,1000000,990119.9825,1060911.4553,30738.42379999993,1091649.8791,91649.87910000002,0.09165
206,2022-01-17,1000000,990119.9825,1062163.6559,30738.42379999993,1092902.0797,92902.07969999989,0.092902
207,2022-01-18,1000000,990119.9825,1050426.1337,30738.42379999993,1081164.5574999999,81164.55749999988,0.081165
208,2022-01-19,1000000,990119.9825,1048238.6775,30738.42379999993,1078977.1013,78977.10129999998,0.078977
209,2022-01-20,1000000,990119.9825,1043849.5077,30738.42379999993,1074587.9315,74587.93149999995,0.074588
210,2022-01-21,1000000,990119.9825,1039089.0619,30738.42379999993,1069827.4856999998,69827.48569999984,0.069827
211,2022-01-24,1000000,990119.9825,1032246.0819,30738.42379999993,1062984.5056999999,62984.50569999986,0.062985
212,2022-01-25,1000000,990119.9825,1023479.7574,30738.42379999993,1054218.1812,54218.18119999999,0.054218
213,2022-01-26,1000000,990119.9825,1019968.6069,30738.42379999993,1050707.0307,50707.0307,0.050707
214,2022-01-27,1000000,990119.9825,1026200.0992,30738.42379999993,1056938.523,56938.523000000045,0.056939
215,2022-01-28,1000000,990119.9825,1035725.5313,30738.42379999993,1066463.9551,66463.9550999999,0.066464
216,2022-01-31,1000000,990119.9825,1041255.9478,30738.42379999993,1071994.3716,71994.37159999995,0.071994
217,2022-02-01,1000000,990119.9825,1041331.2882,30738.42379999993,1072069.7119999998,72069.71199999982,0.07207
218,2022-02-02,1000000,977034.0318,1043366.5825,41850.26159999994,1085216.8440999999,85216.84409999987,0.085217
219,2022-02-03,1000000,977034.0318,1042772.8933,41850.26159999994,1084623.1549,84623.15489999996,0.084623
220,2022-02-04,1000000,977034.0318,1034469.0173,41850.26159999994,1076319.2788999998,76319.2788999998,0.076319
221,2022-02-07,1000000,977034.0318,1037789.438,41850.26159999994,1079639.6996,79639.69959999993,0.07964
222,2022-02-08,1000000,977034.0318,1043825.8158,41850.26159999994,1085676.0773999998,85676.07739999983,0.085676
223,2022-02-09,1000000,977034.0318,1045496.9011,41850.26159999994,1087347.1627,87347.16269999999,0.087347
224,2022-02-10,1000000,977034.0318,1031714.7303,41850.26159999994,1073564.9919,73564.99190000002,0.073565
225,2022-02-11,1000000,977034.0318,1031498.8054,41850.26159999994,1073349.0669999998,73349.0669999998,0.073349
226,2022-02-14,1000000,977034.0318,1021841.5842,41850.26159999994,1063691.8458,63691.84580000001,0.063692
227,2022-02-15,1000000,977034.0318,1023616.9009,41850.26159999994,1065467.1624999999,65467.16249999986,0.065467
228,2022-02-16,1000000,977034.0318,1025351.6551,41850.26159999994,1067201.9167,67201.91669999994,0.067202
229,2022-02-17,1000000,977034.0318,1024727.8406,41850.26159999994,1066578.1021999998,66578.10219999985,0.066578
230,2022-02-18,1000000,977034.0318,1024083.6125,41850.26159999994,1065933.8741,65933.8740999999,0.065934
231,2022-02-21,1000000,977034.0318,1021663.8489,41850.26159999994,1063514.1105,63514.11049999995,0.063514
232,2022-02-22,1000000,977034.0318,1018902.2345,41850.26159999994,1060752.4960999999,60752.49609999987,0.060752
233,2022-02-23,1000000,977034.0318,1013530.2997,41850.26159999994,1055380.5613,55380.56129999994,0.055381
234,2022-02-24,1000000,977034.0318,999460.6076,41850.26159999994,1041310.8692,41310.86919999996,0.041311
235,2022-02-25,1000000,977034.0318,1031169.4435,41850.26159999994,1073019.7051,73019.7050999999,0.07302
236,2022-02-28,1000000,977034.0318,1026610.3259,41850.26159999994,1068460.5875,68460.5874999999,0.068461
237,2022-03-01,1000000,977034.0318,1018786.5767,41850.26159999994,1060636.8383,60636.838299999945,0.060637
238,2022-03-02,1000000,972288.28,1032752.9448,38247.94539999993,1071000.8902,71000.89020000002,0.071001
239,2022-03-03,1000000,972288.28,1040804.8138,38247.94539999993,1079052.7592,79052.75919999997,0.079053
240,2022-03-04,1000000,972288.28,1046664.6368,38247.94539999993,1084912.5821999998,84912.58219999983,0.084913
241,2022-03-07,1000000,972288.28,1036507.7301,38247.94539999993,1074755.6755,74755.6754999999,0.074756
242,2022-03-08,1000000,972288.28,1016357.8893,38247.94539999993,1054605.8347,54605.83470000001,0.054606
243,2022-03-09,1000000,972288.28,1024135.0548,38247.94539999993,1062383.0002,62383.00019999989,0.062383
244,2022-03-10,1000000,972288.28,1026564.0772,38247.94539999993,1064812.0226,64812.022600000026,0.064812
245,2022-03-11,1000000,972288.28,1019586.7496,38247.94539999993,1057834.6949999998,57834.69499999983,0.057835
