,date,initial_capital,investment_cost,investment_value,cash,net_capital,P&L,percentage_change
0,2021-04-02,1000000,0.0,0.0,1000000.0,1000000.0,0.0,0.0
1,2021-04-05,1000000,826571.9507,825746.2045,173428.04929999996,999174.2538,-825.7462000000523,-0.000826
2,2021-04-06,1000000,973980.9757,975340.9371,26019.02429999996,1001359.9613999999,1359.9613999999128,0.00136
3,2021-04-07,1000000,973980.9757,973633.4979,26019.02429999996,999652.5221999999,-347.4778000001097,-0.000347
4,2021-04-08,1000000,973980.9757,974470.623,26019.02429999996,1000489.6473,489.64729999995325,0.00049
5,2021-04-09,1000000,973980.9757,976797.6933,26019.02429999996,1002816.7176,2816.7175999999745,0.002817
6,2021-04-12,1000000,973980.9757,978863.6927,26019.02429999996,1004882.717,4882.716999999946,0.004883
7,2021-04-13,1000000,973980.9757,982137.2038,26019.02429999996,1008156.2281,8156.228099999949,0.008156
8,2021-04-14,1000000,973980.9757,982668.1806,26019.02429999996,1008687.2048999999,8687.204899999895,0.008687
9,2021-04-15,1000000,973980.9757,993755.4164,26019.02429999996,1019774.4406999999,19774.44069999992,0.019774
10,2021-04-16,1000000,973980.9757,1000634.9188,26019.02429999996,1026653.9430999999,26653.943099999917,0.026654
11,2021-04-19,1000000,973980.9757,999459.1017,26019.02429999996,1025478.1259999999,25478.12599999993,0.025478
12,2021-04-20,1000000,973980.9757,1002472.2751,26019.02429999996,1028491.2993999999,28491.2993999999,0.028491
13,2021-04-21,1000000,973980.9757,1007621.0614,26019.02429999996,1033640.0856999999,33640.08569999994,0.03364
14,2021-04-22,1000000,973980.9757,1002451.9537,26019.02429999996,1028470.9779999999,28470.977999999886,0.028471
15,2021-04-23,1000000,973980.9757,1000686.7669,26019.02429999996,1026705.7912,26705.791199999978,0.026706
16,2021-04-26,1000000,973980.9757,995526.1687,26019.02429999996,1021545.193,21545.19299999997,0.021545
17,2021-04-27,1000000,973980.9757,991401.4733,26019.02429999996,1017420.4975999999,17420.497599999886,0.01742
18,2021-04-28,1000000,973980.9757,991182.6321,26019.02429999996,1017201.6564,17201.656399999978,0.017202
19,2021-04-29,1000000,973980.9757,998322.6039,26019.02429999996,1024341.6281999999,24341.62819999992,0.024342
20,2021-04-30,1000000,973980.9757,999235.9729,26019.02429999996,1025254.9972,25254.997199999983,0.025255
21,2021-05-03,1000000,973980.9757,1004023.0127,26019.02429999996,1030042.0369999999,30042.036999999895,0.030042
22,2021-05-04,1000000,973358.0556,1002113.2639,26453.703599999957,1028566.9675,28566.967500000028,0.028567
23,2021-05-05,1000000,973358.0556,998868.0184,26453.703599999957,1025321.722,25321.72199999995,0.025322
24,2021-05-06,1000000,973358.0556,1006071.35,26453.703599999957,1032525.0536,32525.053599999985,0.032525
