,date,initial_capital,investment_cost,investment_value,cash,net_capital,P&L,percentage_change
0,2021-04-02,1000000,0.0,0.0,1000000.0,1000000.0,0.0,0.0
1,2021-04-05,1000000,906389.7493,905484.265,93610.25070000009,999094.5157000001,-905.4842999998946,-0.000905
2,2021-04-06,1000000,976561.2729,978241.9868,23438.72710000009,1001680.7139000001,1680.7139000000898,0.001681
3,2021-04-07,1000000,976561.2729,977199.7245,23438.72710000009,1000638.4516000001,638.4516000001458,0.000638
4,2021-04-08,1000000,976561.2729,977858.2926,23438.72710000009,1001297.0197000002,1297.019700000179,0.001297
5,2021-04-09,1000000,976561.2729,981837.892,23438.72710000009,1005276.6191000001,5276.619100000127,0.005277
6,2021-04-12,1000000,976561.2729,984757.6608,23438.72710000009,1008196.3879000001,8196.387900000089,0.008196
7,2021-04-13,1000000,976561.2729,987682.521,23438.72710000009,1011121.2481000001,11121.248100000084,0.011121
8,2021-04-14,1000000,976561.2729,988565.6475,23438.72710000009,1012004.3746000001,12004.374600000097,0.012004
9,2021-04-15,1000000,976561.2729,998002.7283,23438.72710000009,1021441.4554000001,21441.455400000094,0.021441
10,2021-04-16,1000000,976561.2729,1005214.225,23438.72710000009,1028652.9521000001,28652.95210000011,0.028653
11,2021-04-19,1000000,976561.2729,1003182.9877,23438.72710000009,1026621.7148000002,26621.71480000019,0.026622
12,2021-04-20,1000000,976561.2729,1003303.6884,23438.72710000009,1026742.4155000001,26742.41550000012,0.026742
13,2021-04-21,1000000,976561.2729,1010314.606,23438.72710000009,1033753.3331000002,33753.33310000016,0.033753
14,2021-04-22,1000000,976561.2729,1003679.0704,23438.72710000009,1027117.7975000001,27117.797500000102,0.027118
15,2021-04-23,1000000,976561.2729,1004587.924,23438.72710000009,1028026.6511000001,28026.651100000134,0.028027
16,2021-04-26,1000000,976561.2729,1000416.612,23438.72710000009,1023855.3391000001,23855.3391000001,0.023855
17,2021-04-27,1000000,976561.2729,996812.8304,23438.72710000009,1020251.5575000001,20251.55750000011,0.020252
18,2021-04-28,1000000,976561.2729,997497.9921,23438.72710000009,1020936.7192000002,20936.719200000167,0.020937
19,2021-04-29,1000000,976561.2729,1005634.7826,23438.72710000009,1029073.5097000002,29073.50970000017,0.029074
20,2021-04-30,1000000,976561.2729,1005176.5187,23438.72710000009,1028615.2458000001,28615.24580000015,0.028615
21,2021-05-03,1000000,976561.2729,1010595.6459,23438.72710000009,1034034.3730000001,34034.37300000014,0.034034
22,2021-05-04,1000000,974950.7995,1008687.2686,23394.260100000094,1032081.5287,32081.528700000024,0.032082
23,2021-05-05,1000000,974950.7995,1005108.3865,23394.260100000094,1028502.6466000001,28502.646600000095,0.028503
24,2021-05-06,1000000,974950.7995,1012002.1424,23394.260100000094,1035396.4025000001,35396.402500000084,0.035396
25,2021-05-07,1000000,974950.7995,1016678.2043,23394.260100000094,1040072.4644,40072.464400000055,0.040072
26,2021-05-10,1000000,974950.7995,1022206.4622,23394.260100000094,1045600.7223,45600.72230000002,0.045601
27,2021-05-11,1000000,974950.7995,1008592.277,23394.260100000094,1031986.5371000001,31986.537100000074,0.031987
28,2021-05-12,1000000,974950.7995,991695.756,23394.260100000094,1015090.0161000001,15090.016100000124,0.01509
