,date,initial_capital,investment_cost,investment_value,cash,net_capital,P&L,percentage_change
0,2021-04-02,1000000,0.0,0.0,1000000.0,1000000.0,0.0,0.0
1,2021-04-05,1000000,885099.2177,884215.0029,114900.78230000008,999115.7852,-884.2147999999579,-0.000884
2,2021-04-06,1000000,974759.5401,976441.6121,25240.459900000074,1001682.0720000002,1682.0720000001602,0.001682
3,2021-04-07,1000000,974759.5401,974586.3131,25240.459900000074,999826.773,-173.2269999999553,-0.000173
4,2021-04-08,1000000,974759.5401,975217.8688,25240.459900000074,1000458.3287000002,458.3287000001874,0.000458
5,2021-04-09,1000000,974759.5401,978231.3331,25240.459900000074,1003471.7930000001,3471.7930000000633,0.003472
6,2021-04-12,1000000,974759.5401,980794.7246,25240.459900000074,1006035.1845,6035.184499999974,0.006035
7,2021-04-13,1000000,974759.5401,983814.1068,25240.459900000074,1009054.5667000001,9054.566700000083,0.009055
8,2021-04-14,1000000,974759.5401,984348.8905,25240.459900000074,1009589.3504000001,9589.350400000112,0.009589
9,2021-04-15,1000000,974759.5401,995081.3326,25240.459900000074,1020321.7925,20321.79249999998,0.020322
10,2021-04-16,1000000,974759.5401,1001973.6081,25240.459900000074,1027214.068,27214.06799999997,0.027214
11,2021-04-19,1000000,974759.5401,1000306.8497,25240.459900000074,1025547.3096,25547.309600000037,0.025547
12,2021-04-20,1000000,974759.5401,1003200.2374,25240.459900000074,1028440.6973000001,28440.697300000116,0.028441
13,2021-04-21,1000000,974759.5401,1009021.4532,25240.459900000074,1034261.9131,34261.913100000005,0.034262
14,2021-04-22,1000000,974759.5401,1003378.4954,25240.459900000074,1028618.9553,28618.95530000003,0.028619
15,2021-04-23,1000000,974759.5401,1002384.601,25240.459900000074,1027625.0609000002,27625.060900000157,0.027625
16,2021-04-26,1000000,974759.5401,997074.1065,25240.459900000074,1022314.5664000001,22314.566400000127,0.022315
17,2021-04-27,1000000,974759.5401,992869.5672,25240.459900000074,1018110.0271000001,18110.027100000065,0.01811
18,2021-04-28,1000000,974759.5401,992793.5455,25240.459900000074,1018034.0054000001,18034.00540000014,0.018034
19,2021-04-29,1000000,974759.5401,1000202.4507,25240.459900000074,1025442.9106000001,25442.91060000006,0.025443
20,2021-04-30,1000000,974759.5401,1000329.8324,25240.459900000074,1025570.2923000001,25570.29230000009,0.02557
21,2021-05-03,1000000,974759.5401,1006127.5598,25240.459900000074,1031368.0197000001,31368.019700000063,0.031368
22,2021-05-04,1000000,974785.0237,1005001.3709,24894.142600000083,1029895.5135000001,29895.513500000117,0.029896
23,2021-05-05,1000000,974785.0237,1001740.5554,24894.142600000083,1026634.6980000001,26634.69800000009,0.026635
24,2021-05-06,1000000,974785.0237,1008618.0431,24894.142600000083,1033512.1857000001,33512.18570000015,0.033512
25,2021-05-07,1000000,974785.0237,1012947.8592,24894.142600000083,1037842.0018000001,37842.001800000085,0.037842
26,2021-05-10,1000000,974785.0237,1019235.5735,24894.142600000083,1044129.7161000002,44129.716100000194,0.04413
27,2021-05-11,1000000,974785.0237,1005746.0844,24894.142600000083,1030640.2270000002,30640.227000000188,0.03064
28,2021-05-12,1000000,974785.0237,991535.6361,24894.142600000083,1016429.7787000001,16429.77870000014,0.01643
29,2021-05-13,1000000,974785.0237,1003657.5857,24894.142600000083,1028551.7283000002,28551.72830000019,0.028552
30,2021-05-14,1000000,974785.0237,1010006.8149,24894.142600000083,1034900.9575000001,34900.957500000135,0.034901
31,2021-05-17,1000000,974785.0237,1007302.8792,24894.142600000083,1032197.0218000001,32197.021800000104,0.032197
32,2021-05-18,1000000,974785.0237,1004755.0935,24894.142600000083,1029649.2361000001,29649.236100000096,0.029649
33,2021-05-19,1000000,974785.0237,1001960.3017,24894.142600000083,1026854.4443000001,26854.44430000009,0.026854
34,2021-05-20,1000000,974785.0237,1009748.6015,24894.142600000083,1034642.7441000001,34642.74410000013,0.034643
35,2021-05-21,1000000,974785.0237,1012502.7381,24894.142600000083,1037396.8807000001,37396.880700000096,0.037397
36,2021-05-24,1000000,974785.0237,1015170.5724,24894.142600000083,1040064.7150000001,40064.715000000084,0.040065
37,2021-05-25,1000000,974785.0237,1010874.9371,24894.142600000083,1035769.0797000001,35769.07970000012,0.035769
38,2021-05-26,1000000,974785.0237,1010124.8685,24894.142600000083,1035019.0111000001,35019.01110000012,0.035019
39,2021-05-27,1000000,974785.0237,1006845.0497,24894.142600000083,1031739.1923000001,31739.19230000011,0.031739
40,2021-05-28,1000000,974785.0237,1010273.1544,24894.142600000083,1035167.2970000001,35167.29700000014,0.035167
41,2021-05-31,1000000,974785.0237,1010166.0624,24894.142600000083,1035060.2050000002,35060.20500000019,0.03506
42,2021-06-01,1000000,974785.0237,1005248.0634,24894.142600000083,1030142.2060000001,30142.206000000122,0.030142
43,2021-06-02,1000000,973491.0922,1003829.2341,26540.610200000086,1030369.8443000001,30369.844300000113,0.03037
44,2021-06-03,1000000,973491.0922,1008230.1242,26540.610200000086,1034770.7344000001,34770.734400000074,0.034771
45,2021-06-04,1000000,973491.0922,1008356.5311,26540.610200000086,1034897.1413000001,34897.141300000134,0.034897
46,2021-06-07,1000000,973491.0922,1009458.4309,26540.610200000086,1035999.0411000001,35999.04110000015,0.035999
47,2021-06-08,1000000,973491.0922,1004012.5108,26540.610200000086,1030553.1210000002,30553.12100000016,0.030553
48,2021-06-09,1000000,973491.0922,1006651.9444,26540.610200000086,1033192.5546000001,33192.55460000015,0.033193
49,2021-06-10,1000000,973491.0922,1012853.3107,26540.610200000086,1039393.9209000001,39393.92090000014,0.039394
50,2021-06-11,1000000,973491.0922,1013703.4476,26540.610200000086,1040244.0578000001,40244.05780000007,0.040244
51,2021-06-14,1000000,973491.0922,1012306.3814,26540.610200000086,1038846.9916000001,38846.99160000007,0.038847
52,2021-06-15,1000000,973491.0922,1011988.6837,26540.610200000086,1038529.2939000002,38529.293900000164,0.038529
53,2021-06-16,1000000,973491.0922,1001162.6775,26540.610200000086,1027703.2877000001,27703.287700000103,0.027703
54,2021-06-17,1000000,973491.0922,1003086.3913,26540.610200000086,1029627.0015000001,29627.00150000013,0.029627
55,2021-06-18,1000000,973491.0922,983570.6182,26540.610200000086,1010111.2284000001,10111.228400000138,0.010111
56,2021-06-21,1000000,973491.0922,997175.9516,26540.610200000086,1023716.5618000001,23716.56180000014,0.023717
57,2021-06-22,1000000,973491.0922,996251.5693,26540.610200000086,1022792.1795000001,22792.179500000086,0.022792
58,2021-06-23,1000000,973491.0922,989775.235,26540.610200000086,1016315.8452000001,16315.845200000098,0.016316
59,2021-06-24,1000000,973491.0922,992445.3088,26540.610200000086,1018985.9190000001,18985.91900000011,0.018986
60,2021-06-25,1000000,973491.0922,999860.1256,26540.610200000086,1026400.7358000001,26400.73580000014,0.026401
61,2021-06-28,1000000,973491.0922,1000771.043,26540.610200000086,1027311.6532000001,27311.65320000006,0.027312
62,2021-06-29,1000000,973491.0922,994530.7222,26540.610200000086,1021071.3324000001,21071.332400000072,0.021071
63,2021-06-30,1000000,973491.0922,994724.9884,26540.610200000086,1021265.5986000001,21265.598600000143,0.021266
64,2021-07-01,1000000,973491.0922,1001993.562,26540.610200000086,1028534.1722000001,28534.172200000146,0.028534
65,2021-07-02,1000000,967839.7968,999958.5988,30581.22280000008,1030539.8216000001,30539.82160000014,0.03054
66,2021-07-05,1000000,967839.7968,1001155.0853,30581.22280000008,1031736.3081000001,31736.30810000014,0.031736
67,2021-07-06,1000000,967839.7968,998784.2705,30581.22280000008,1029365.4933000001,29365.49330000009,0.029365
68,2021-07-07,1000000,967839.7968,1004035.3472,30581.22280000008,1034616.5700000001,34616.570000000065,0.034617
69,2021-07-08,1000000,967839.7968,998844.0303,30581.22280000008,1029425.2531000001,29425.25310000009,0.029425
70,2021-07-09,1000000,967839.7968,1004740.2359,30581.22280000008,1035321.4587000001,35321.458700000076,0.035321
71,2021-07-12,1000000,967839.7968,1005810.4111,30581.22280000008,1036391.6339000001,36391.63390000013,0.036392
72,2021-07-13,1000000,967839.7968,1000022.1792,30581.22280000008,1030603.4020000001,30603.40200000012,0.030603
73,2021-07-14,1000000,967839.7968,1002367.4041,30581.22280000008,1032948.6269000001,32948.62690000015,0.032949
74,2021-07-15,1000000,967839.7968,1004857.5906,30581.22280000008,1035438.8134000001,35438.8134000001,0.035439
75,2021-07-16,1000000,967839.7968,1007589.1419,30581.22280000008,1038170.3647000002,38170.36470000015,0.03817
76,2021-07-19,1000000,967839.7968,994817.8445,30581.22280000008,1025399.0673000001,25399.06730000011,0.025399
77,2021-07-20,1000000,967839.7968,1002395.8309,30581.22280000008,1032977.0537,32977.05370000005,0.032977
78,2021-07-21,1000000,967839.7968,1001455.3613,30581.22280000008,1032036.5841000001,32036.584100000095,0.032037
79,2021-07-22,1000000,967839.7968,1002654.1199,30581.22280000008,1033235.3427000002,33235.342700000154,0.033235
80,2021-07-23,1000000,967839.7968,1013172.5373,30581.22280000008,1043753.7601000001,43753.76010000007,0.043754
81,2021-07-26,1000000,967839.7968,1011894.1201,30581.22280000008,1042475.3429,42475.34290000005,0.042475
82,2021-07-27,1000000,967839.7968,1019929.7122,30581.22280000008,1050510.935,50510.935000000056,0.050511
83,2021-07-28,1000000,967839.7968,1016413.031,30581.22280000008,1046994.2538000001,46994.253800000064,0.046994
84,2021-07-29,1000000,967839.7968,1019860.9264,30581.22280000008,1050442.1492,50442.1492000001,0.050442
85,2021-07-30,1000000,967839.7968,1014674.3207,30581.22280000008,1045255.5435000001,45255.543500000145,0.045256
86,2021-08-02,1000000,967839.7968,1016264.0568,30581.22280000008,1046845.2796000001,46845.279600000125,0.046845
87,2021-08-03,1000000,965538.2717,1018890.651,34296.26870000008,1053186.9197,53186.91969999997,0.053187
88,2021-08-04,1000000,965538.2717,1008917.5938,34296.26870000008,1043213.8625000002,43213.86250000016,0.043214
89,2021-08-05,1000000,965538.2717,1011024.116,34296.26870000008,1045320.3847000002,45320.38470000017,0.04532
90,2021-08-06,1000000,965538.2717,1013290.7058,34296.26870000008,1047586.9745000001,47586.97450000013,0.047587
91,2021-08-09,1000000,965538.2717,1014504.3199,34296.26870000008,1048800.5886000001,48800.588600000134,0.048801
92,2021-08-10,1000000,965538.2717,1018120.987,34296.26870000008,1052417.2557,52417.255700000096,0.052417
93,2021-08-11,1000000,965538.2717,1021987.062,34296.26870000008,1056283.3307,56283.33070000005,0.056283
94,2021-08-12,1000000,965538.2717,1024071.0632,34296.26870000008,1058367.3319,58367.33190000011,0.058367
95,2021-08-13,1000000,965538.2717,1030767.8537,34296.26870000008,1065064.1224,65064.12239999999,0.065064
96,2021-08-16,1000000,965538.2717,1036545.4607,34296.26870000008,1070841.7294,70841.72940000007,0.070842
97,2021-08-17,1000000,965538.2717,1039348.1411,34296.26870000008,1073644.4098,73644.40980000002,0.073644
98,2021-08-18,1000000,965538.2717,1027297.4748,34296.26870000008,1061593.7435,61593.7435000001,0.061594
99,2021-08-19,1000000,965538.2717,1030431.1028,34296.26870000008,1064727.3715000001,64727.371500000125,0.064727
100,2021-08-20,1000000,965538.2717,1035643.9579,34296.26870000008,1069940.2266000002,69940.22660000017,0.06994
101,2021-08-23,1000000,965538.2717,1035071.3311,34296.26870000008,1069367.5998,69367.59979999997,0.069368
102,2021-08-24,1000000,965538.2717,1030176.8024,34296.26870000008,1064473.0711,64473.07110000006,0.064473
103,2021-08-25,1000000,965538.2717,1030337.2207,34296.26870000008,1064633.4894,64633.48940000008,0.064633
104,2021-08-26,1000000,965538.2717,1025146.3976,34296.26870000008,1059442.6663000002,59442.66630000016,0.059443
