period_date,sector,w_universe,w_q1,active_weight
2015-12-31,Health Care,13.11,13.58,0.47
2015-12-31,Industrials,18.51,16.05,-2.46
2015-12-31,Consumer Discretionary,16.97,16.05,-0.92
2015-12-31,Information Technology,13.62,11.11,-2.51
2015-12-31,Consumer Staples,9.51,8.64,-0.87
2015-12-31,Utilities,7.2,7.41,0.21
2015-12-31,Real Estate,7.2,8.64,1.44
2015-12-31,Materials,6.17,6.17,0.0
2015-12-31,Communication Services,3.86,4.94,1.08
2015-12-31,Energy,3.6,6.17,2.57
2015-12-31,Financials,0.26,1.23,0.98
2016-03-31,Health Care,13.11,15.85,2.74
2016-03-31,Industrials,18.51,14.63,-3.87
2016-03-31,Consumer Discretionary,16.97,18.29,1.33
2016-03-31,Information Technology,13.62,9.76,-3.87
2016-03-31,Consumer Staples,9.51,4.88,-4.63
2016-03-31,Utilities,7.2,7.32,0.12
2016-03-31,Real Estate,7.2,9.76,2.56
2016-03-31,Materials,6.17,6.1,-0.07
2016-03-31,Communication Services,3.86,3.66,-0.2
2016-03-31,Energy,3.6,8.54,4.94
2016-03-31,Financials,0.26,1.22,0.96
2016-06-30,Health Care,13.11,14.46,1.35
2016-06-30,Industrials,18.51,14.46,-4.05
2016-06-30,Consumer Discretionary,16.97,20.48,3.52
2016-06-30,Information Technology,13.62,9.64,-3.99
2016-06-30,Consumer Staples,9.51,6.02,-3.49
2016-06-30,Utilities,7.2,6.02,-1.17
2016-06-30,Real Estate,7.2,9.64,2.44
2016-06-30,Materials,6.17,6.02,-0.15
2016-06-30,Communication Services,3.86,4.82,0.96
2016-06-30,Energy,3.6,7.23,3.63
2016-06-30,Financials,0.26,1.2,0.95
2016-09-30,Health Care,13.11,10.84,-2.27
2016-09-30,Industrials,18.51,16.87,-1.64
2016-09-30,Consumer Discretionary,16.97,18.07,1.11
2016-09-30,Information Technology,13.62,12.05,-1.58
2016-09-30,Consumer Staples,9.51,4.82,-4.69
2016-09-30,Utilities,7.2,8.43,1.24
2016-09-30,Real Estate,7.2,9.64,2.44
2016-09-30,Materials,6.17,6.02,-0.15
2016-09-30,Communication Services,3.86,4.82,0.96
2016-09-30,Energy,3.6,7.23,3.63
2016-09-30,Financials,0.26,1.2,0.95
2016-12-31,Health Care,13.03,10.34,-2.69
2016-12-31,Industrials,20.14,17.24,-2.9
2016-12-31,Materials,5.92,5.75,-0.18
2016-12-31,Consumer Discretionary,17.77,22.99,5.22
2016-12-31,Information Technology,12.32,11.49,-0.83
2016-12-31,Consumer Staples,9.72,6.9,-2.82
2016-12-31,Utilities,6.87,5.75,-1.12
2016-12-31,Real Estate,6.87,6.9,0.02
2016-12-31,Communication Services,4.27,4.6,0.33
2016-12-31,Technology,0.95,4.6,3.65
2016-12-31,Energy,2.13,3.45,1.32
2017-03-31,Health Care,13.03,10.11,-2.92
2017-03-31,Industrials,20.14,20.22,0.08
2017-03-31,Materials,5.92,6.74,0.82
2017-03-31,Consumer Discretionary,17.77,17.98,0.21
2017-03-31,Information Technology,12.32,12.36,0.04
2017-03-31,Consumer Staples,9.72,6.74,-2.97
2017-03-31,Utilities,6.87,6.74,-0.13
2017-03-31,Real Estate,6.87,5.62,-1.25
2017-03-31,Communication Services,4.27,4.49,0.23
2017-03-31,Technology,0.95,4.49,3.55
2017-03-31,Energy,2.13,4.49,2.36
2017-06-30,Health Care,13.03,10.11,-2.92
2017-06-30,Industrials,20.14,20.22,0.08
2017-06-30,Materials,5.92,6.74,0.82
2017-06-30,Consumer Discretionary,17.77,16.85,-0.92
2017-06-30,Information Technology,12.32,11.24,-1.09
2017-06-30,Consumer Staples,9.72,6.74,-2.97
2017-06-30,Utilities,6.87,7.87,0.99
2017-06-30,Real Estate,6.87,5.62,-1.25
2017-06-30,Communication Services,4.27,5.62,1.35
2017-06-30,Technology,0.95,4.49,3.55
2017-06-30,Energy,2.13,4.49,2.36
2017-09-30,Health Care,13.03,8.99,-4.04
2017-09-30,Industrials,20.14,20.22,0.08
2017-09-30,Materials,5.92,7.87,1.94
2017-09-30,Consumer Discretionary,17.77,20.22,2.45
2017-09-30,Information Technology,12.32,6.74,-5.58
2017-09-30,Consumer Staples,9.72,7.87,-1.85
2017-09-30,Utilities,6.87,7.87,0.99
2017-09-30,Real Estate,6.87,4.49,-2.38
2017-09-30,Communication Services,4.27,6.74,2.48
2017-09-30,Technology,0.95,4.49,3.55
2017-09-30,Energy,2.13,4.49,2.36
2017-12-31,Health Care,12.22,6.67,-5.55
2017-12-31,Industrials,19.46,21.11,1.65
2017-12-31,Materials,6.33,5.56,-0.78
2017-12-31,Consumer Discretionary,16.97,20.0,3.03
