symbol,start_date,end_date,quintile,composite_score,value_score,quality_score,momentum_score,gross_return,net_return
A,2015-12-31,2016-03-31,4,-0.2583,0.4301,0.4464,-0.530370720649228,-0.046878698649742145,-0.05087869864974215
AAL,2015-12-31,2016-03-31,4,-0.3706,0.5789,0.2952,-0.622400188570272,-0.028999136142198623,-0.032999136142198626
AAP,2015-12-31,2016-03-31,4,-0.6413,0.2889,0.4232,-0.136796424583972,0.06571436911207651,0.061714369112076506
AAPL,2015-12-31,2016-03-31,2,0.3834,0.5657,0.441,-0.337485029878738,0.04105445474744607,0.037054454747446064
ABBV,2015-12-31,2016-03-31,5,-1.5414,0.4928,0.2752,-1.94468027081652,-0.02565915344216607,-0.02965915344216607
ABT,2015-12-31,2016-03-31,2,0.468,0.543,0.4747,-0.296511640997719,-0.06270367300847846,-0.06670367300847846
ACN,2015-12-31,2016-03-31,1,1.1707,0.3961,0.5989,0.798000040996612,0.10430643695875474,0.10030643695875474
ADBE,2015-12-31,2016-03-31,5,-1.0395,0.1124,0.3555,0.75411994506882,-0.0014903064297423496,-0.00549030642974235
ADI,2015-12-31,2016-03-31,3,0.246,0.3719,0.488,0.282967079869206,0.07876084800428074,0.07476084800428073
ADM,2015-12-31,2016-03-31,3,-0.0297,0.7415,0.4004,-1.74888511053482,-0.0010551099940696584,-0.0050551099940696585
ADP,2015-12-31,2016-03-31,5,-1.6951,0.2387,0.2043,-0.229278002301689,0.06550550189871096,0.06150550189871096
AEE,2015-12-31,2016-03-31,1,1.326,0.6292,0.4829,0.403570615486443,0.16941343690099808,0.16541343690099808
AEP,2015-12-31,2016-03-31,3,0.2277,0.5346,0.3912,-0.126970520925964,0.14976880012153027,0.14576880012153026
AES,2015-12-31,2016-03-31,3,0.0833,0.7341,0.4264,-1.66528995165132,0.24800669386795549,0.24400669386795548
AIV,2015-12-31,2016-03-31,4,-0.755,0.4434,0.2669,-0.313519496993069,0.05421657903445398,0.05021657903445398
AKAM,2015-12-31,2016-03-31,5,-1.1137,0.2717,0.4309,-0.75411994506882,0.055861648623262594,0.05186164862326259
ALB,2015-12-31,2016-03-31,5,-1.3856,0.388,0.1493,-0.365114541294321,0.14711624784988264,0.14311624784988264
ALGN,2015-12-31,2016-03-31,1,1.1946,0.2784,0.7197,0.806960711084595,0.10387250001187565,0.09987250001187564
ALK,2015-12-31,2016-03-31,1,1.7754,0.5022,0.4632,2.48504879345395,0.02264417440789024,0.01864417440789024
ALLE,2015-12-31,2016-03-31,5,-1.3118,0.0,0.3305,1.00258284531375,-0.03170284912600907,-0.03570284912600907
AMAT,2015-12-31,2016-03-31,4,-0.4813,0.5242,0.383,-0.960531938296978,0.14057602593423213,0.13657602593423213
AME,2015-12-31,2016-03-31,4,-0.4879,0.2522,0.4235,0.379033196755721,-0.06563037629581092,-0.06963037629581093
AMGN,2015-12-31,2016-03-31,2,0.6633,0.6554,0.4484,-0.568127808374979,-0.06996544229813018,-0.07396544229813018
AMT,2015-12-31,2016-03-31,5,-2.0758,0.1766,0.3054,-0.838848368818471,0.05590481182914164,0.05190481182914164
AMZN,2015-12-31,2016-03-31,4,-0.3077,0.0612,0.3498,2.12389701004729,-0.12169138251669909,-0.1256913825166991
ANET,2015-12-31,2016-03-31,4,-0.6124,0.1482,0.6069,-0.282967079869206,-0.18936277694291792,-0.19336277694291792
ANTO.L,2015-12-31,2016-03-31,5,-0.9424,0.3158,0.5696,-1.59193654229322,0.00021311919506161736,-0.0037868808049383827
AOS,2015-12-31,2016-03-31,1,1.7207,0.2654,0.6039,2.48504879345395,-0.000397518549193121,-0.004397518549193121
APD,2015-12-31,2016-03-31,4,-0.314,0.385,0.4011,-0.0519742354417846,0.11374440323479007,0.10974440323479007
APH,2015-12-31,2016-03-31,4,-0.6708,0.3778,0.3374,-0.182841634291398,0.10983037932012762,0.10583037932012762
